league,week,day,date,time,home,home_xg,score,away_xg,away,attendance,venue,referee,match_report,home_link,away_link,match_link,report_link
EPL,28,Tue,2019-02-26,19:45 (03:45),Huddersfield,1.6,1–0,0.6,Wolves,"22,714",The John Smith's Stadium,David Coote,Match Report,https://fbref.com/en/squads/f5922ca5/2018-2019/Huddersfield-Town-Stats,https://fbref.com/en/squads/8cec06e1/2018-2019/Wolverhampton-Wanderers-Stats,https://fbref.com/en/matches/430439d8/Huddersfield-Town-Wolverhampton-Wanderers-February-26-2019-Premier-League,https://fbref.com/en/matches/430439d8/Huddersfield-Town-Wolverhampton-Wanderers-February-26-2019-Premier-League
EPL,28,Tue,2019-02-26,19:45 (03:45),Cardiff City,0.3,0–3,0.8,Everton,"31,849",Cardiff City Stadium,Kevin Friend,Match Report,https://fbref.com/en/squads/75fae011/2018-2019/Cardiff-City-Stats,https://fbref.com/en/squads/d3fd31cc/2018-2019/Everton-Stats,https://fbref.com/en/matches/258dd575/Cardiff-City-Everton-February-26-2019-Premier-League,https://fbref.com/en/matches/258dd575/Cardiff-City-Everton-February-26-2019-Premier-League
EPL,28,Tue,2019-02-26,20:00 (04:00),Newcastle Utd,0.8,2–0,1.1,Burnley,"48,323",St. James' Park,Craig Pawson,Match Report,https://fbref.com/en/squads/b2b47a98/2018-2019/Newcastle-United-Stats,https://fbref.com/en/squads/943e8050/2018-2019/Burnley-Stats,https://fbref.com/en/matches/09bb5985/Newcastle-United-Burnley-February-26-2019-Premier-League,https://fbref.com/en/matches/09bb5985/Newcastle-United-Burnley-February-26-2019-Premier-League
EPL,28,Wed,2019-02-27,19:45 (03:45),Southampton,1.4,2–0,0.7,Fulham,"27,597",St. Mary's Stadium,Anthony Taylor,Match Report,https://fbref.com/en/squads/33c895d4/2018-2019/Southampton-Stats,https://fbref.com/en/squads/fd962109/2018-2019/Fulham-Stats,https://fbref.com/en/matches/7ff42214/Southampton-Fulham-February-27-2019-Premier-League,https://fbref.com/en/matches/7ff42214/Southampton-Fulham-February-27-2019-Premier-League
EPL,28,Wed,2019-02-27,19:45 (03:45),Arsenal,3.2,5–1,1.3,Bournemouth,"59,618",Emirates Stadium,Chris Kavanagh,Match Report,https://fbref.com/en/squads/18bb7c10/2018-2019/Arsenal-Stats,https://fbref.com/en/squads/4ba7cbea/2018-2019/Bournemouth-Stats,https://fbref.com/en/matches/59600e66/Arsenal-Bournemouth-February-27-2019-Premier-League,https://fbref.com/en/matches/59600e66/Arsenal-Bournemouth-February-27-2019-Premier-League
EPL,28,Wed,2019-02-27,20:00 (04:00),Crystal Palace,1.5,1–3,1.3,Manchester Utd,"25,754",Selhurst Park,Martin Atkinson,Match Report,https://fbref.com/en/squads/47c64c55/2018-2019/Crystal-Palace-Stats,https://fbref.com/en/squads/19538871/2018-2019/Manchester-United-Stats,https://fbref.com/en/matches/35dcf161/Crystal-Palace-Manchester-United-February-27-2019-Premier-League,https://fbref.com/en/matches/35dcf161/Crystal-Palace-Manchester-United-February-27-2019-Premier-League
EPL,28,Wed,2019-02-27,20:00 (04:00),Manchester City,3.0,1–0,0.5,West Ham,"53,528",Etihad Stadium,Stuart Attwell,Match Report,https://fbref.com/en/squads/b8fd03ef/2018-2019/Manchester-City-Stats,https://fbref.com/en/squads/7c21e445/2018-2019/West-Ham-United-Stats,https://fbref.com/en/matches/db370521/Manchester-City-West-Ham-United-February-27-2019-Premier-League,https://fbref.com/en/matches/db370521/Manchester-City-West-Ham-United-February-27-2019-Premier-League
EPL,28,Wed,2019-02-27,20:00 (04:00),Chelsea,0.6,2–0,0.5,Tottenham,"40,542",Stamford Bridge,Andre Marriner,Match Report,https://fbref.com/en/squads/cff3d9bb/2018-2019/Chelsea-Stats,https://fbref.com/en/squads/361ca564/2018-2019/Tottenham-Hotspur-Stats,https://fbref.com/en/matches/99ebf266/Chelsea-Tottenham-Hotspur-February-27-2019-Premier-League,https://fbref.com/en/matches/99ebf266/Chelsea-Tottenham-Hotspur-February-27-2019-Premier-League
EPL,28,Wed,2019-02-27,20:00 (04:00),Liverpool,1.9,5–0,1.0,Watford,"53,316",Anfield,Graham Scott,Match Report,https://fbref.com/en/squads/822bd0ba/2018-2019/Liverpool-Stats,https://fbref.com/en/squads/2abfe087/2018-2019/Watford-Stats,https://fbref.com/en/matches/b34f9ff8/Liverpool-Watford-February-27-2019-Premier-League,https://fbref.com/en/matches/b34f9ff8/Liverpool-Watford-February-27-2019-Premier-League
EPL,29,Sat,2019-03-02,12:30 (20:30),Tottenham,1.3,1–1,2.4,Arsenal,"81,332",Wembley Stadium,Anthony Taylor,Match Report,https://fbref.com/en/squads/361ca564/2018-2019/Tottenham-Hotspur-Stats,https://fbref.com/en/squads/18bb7c10/2018-2019/Arsenal-Stats,https://fbref.com/en/matches/72ed853c/North-London-Derby-Tottenham-Hotspur-Arsenal-March-2-2019-Premier-League,https://fbref.com/en/matches/72ed853c/North-London-Derby-Tottenham-Hotspur-Arsenal-March-2-2019-Premier-League
EPL,29,Sat,2019-03-02,15:00 (23:00),Manchester Utd,2.2,3–2,0.5,Southampton,"74,459",Old Trafford,Stuart Attwell,Match Report,https://fbref.com/en/squads/19538871/2018-2019/Manchester-United-Stats,https://fbref.com/en/squads/33c895d4/2018-2019/Southampton-Stats,https://fbref.com/en/matches/0e3e4be7/Manchester-United-Southampton-March-2-2019-Premier-League,https://fbref.com/en/matches/0e3e4be7/Manchester-United-Southampton-March-2-2019-Premier-League
EPL,29,Sat,2019-03-02,15:00 (23:00),Burnley,1.7,1–3,0.8,Crystal Palace,"19,223",Turf Moor,Lee Probert,Match Report,https://fbref.com/en/squads/943e8050/2018-2019/Burnley-Stats,https://fbref.com/en/squads/47c64c55/2018-2019/Crystal-Palace-Stats,https://fbref.com/en/matches/fbfb16e5/Burnley-Crystal-Palace-March-2-2019-Premier-League,https://fbref.com/en/matches/fbfb16e5/Burnley-Crystal-Palace-March-2-2019-Premier-League
EPL,29,Sat,2019-03-02,15:00 (23:00),Wolves,2.6,2–0,0.6,Cardiff City,"31,309",Molineux Stadium,Andre Marriner,Match Report,https://fbref.com/en/squads/8cec06e1/2018-2019/Wolverhampton-Wanderers-Stats,https://fbref.com/en/squads/75fae011/2018-2019/Cardiff-City-Stats,https://fbref.com/en/matches/2e1e02b8/Wolverhampton-Wanderers-Cardiff-City-March-2-2019-Premier-League,https://fbref.com/en/matches/2e1e02b8/Wolverhampton-Wanderers-Cardiff-City-March-2-2019-Premier-League
EPL,29,Sat,2019-03-02,15:00 (23:00),Bournemouth,0.0,0–1,1.6,Manchester City,"10,699",Vitality Stadium,Kevin Friend,Match Report,https://fbref.com/en/squads/4ba7cbea/2018-2019/Bournemouth-Stats,https://fbref.com/en/squads/b8fd03ef/2018-2019/Manchester-City-Stats,https://fbref.com/en/matches/5e35e444/Bournemouth-Manchester-City-March-2-2019-Premier-League,https://fbref.com/en/matches/5e35e444/Bournemouth-Manchester-City-March-2-2019-Premier-League
EPL,29,Sat,2019-03-02,15:00 (23:00),Brighton,1.1,1–0,0.3,Huddersfield,"30,182",The American Express Community Stadium,Mike Dean,Match Report,https://fbref.com/en/squads/d07537b9/2018-2019/Brighton-and-Hove-Albion-Stats,https://fbref.com/en/squads/f5922ca5/2018-2019/Huddersfield-Town-Stats,https://fbref.com/en/matches/e34a25b2/Brighton-and-Hove-Albion-Huddersfield-Town-March-2-2019-Premier-League,https://fbref.com/en/matches/e34a25b2/Brighton-and-Hove-Albion-Huddersfield-Town-March-2-2019-Premier-League
EPL,29,Sat,2019-03-02,17:30 (01:30),West Ham,1.9,2–0,1.1,Newcastle Utd,"59,910",London Stadium,Chris Kavanagh,Match Report,https://fbref.com/en/squads/7c21e445/2018-2019/West-Ham-United-Stats,https://fbref.com/en/squads/b2b47a98/2018-2019/Newcastle-United-Stats,https://fbref.com/en/matches/7d4fcb12/West-Ham-United-Newcastle-United-March-2-2019-Premier-League,https://fbref.com/en/matches/7d4fcb12/West-Ham-United-Newcastle-United-March-2-2019-Premier-League
EPL,29,Sun,2019-03-03,12:00 (20:00),Watford,0.9,2–1,1.0,Leicester City,"20,062",Vicarage Road Stadium,Jonathan Moss,Match Report,https://fbref.com/en/squads/2abfe087/2018-2019/Watford-Stats,https://fbref.com/en/squads/a2d435b3/2018-2019/Leicester-City-Stats,https://fbref.com/en/matches/7c1b902f/Watford-Leicester-City-March-3-2019-Premier-League,https://fbref.com/en/matches/7c1b902f/Watford-Leicester-City-March-3-2019-Premier-League
EPL,29,Sun,2019-03-03,14:05 (22:05),Fulham,0.8,1–2,1.7,Chelsea,"24,900",Craven Cottage,Graham Scott,Match Report,https://fbref.com/en/squads/fd962109/2018-2019/Fulham-Stats,https://fbref.com/en/squads/cff3d9bb/2018-2019/Chelsea-Stats,https://fbref.com/en/matches/3a56d413/Fulham-Chelsea-March-3-2019-Premier-League,https://fbref.com/en/matches/3a56d413/Fulham-Chelsea-March-3-2019-Premier-League
EPL,29,Sun,2019-03-03,16:15 (00:15),Everton,0.5,0–0,1.1,Liverpool,"39,335",Goodison Park,Martin Atkinson,Match Report,https://fbref.com/en/squads/d3fd31cc/2018-2019/Everton-Stats,https://fbref.com/en/squads/822bd0ba/2018-2019/Liverpool-Stats,https://fbref.com/en/matches/edc35bc3/Merseyside-Derby-Everton-Liverpool-March-3-2019-Premier-League,https://fbref.com/en/matches/edc35bc3/Merseyside-Derby-Everton-Liverpool-March-3-2019-Premier-League
EPL,30,Sat,2019-03-09,12:30 (20:30),Crystal Palace,1.8,1–2,0.1,Brighton,"24,972",Selhurst Park,Craig Pawson,Match Report,https://fbref.com/en/squads/47c64c55/2018-2019/Crystal-Palace-Stats,https://fbref.com/en/squads/d07537b9/2018-2019/Brighton-and-Hove-Albion-Stats,https://fbref.com/en/matches/64a4127a/Crystal-Palace-Brighton-and-Hove-Albion-March-9-2019-Premier-League,https://fbref.com/en/matches/64a4127a/Crystal-Palace-Brighton-and-Hove-Albion-March-9-2019-Premier-League
