date,match_link,home,away,home_elo,away_elo
2018-10-20,https://fbref.com/en/matches/5dbd9cd7/West-Ham-United-Tottenham-Hotspur-October-20-2018-Premier-League,West Ham,Tottenham,1661.87536621,1887.05822754
2018-10-20,https://fbref.com/en/matches/a30672ee/Newcastle-United-Brighton-and-Hove-Albion-October-20-2018-Premier-League,Newcastle Utd,Brighton,1630.40710449,1626.65307617
2018-10-20,https://fbref.com/en/matches/507786df/Manchester-City-Burnley-October-20-2018-Premier-League,Manchester City,Burnley,1962.67407227,1647.58325195
2018-10-20,https://fbref.com/en/matches/1027bc75/Bournemouth-Southampton-October-20-2018-Premier-League,Bournemouth,Southampton,1690.10461426,1620.9387207
2018-10-20,https://fbref.com/en/matches/fe1817e3/Cardiff-City-Fulham-October-20-2018-Premier-League,Cardiff City,Fulham,1543.56396484,1601.84643555
2018-10-20,https://fbref.com/en/matches/356d83b4/Huddersfield-Town-Liverpool-October-20-2018-Premier-League,Huddersfield,Liverpool,1536.91491699,1929.22363281
2018-10-21,https://fbref.com/en/matches/2a861cc1/Everton-Crystal-Palace-October-21-2018-Premier-League,Everton,Crystal Palace,1687.0402832,1661.36901855
2018-10-22,https://fbref.com/en/matches/9ba76788/Arsenal-Leicester-City-October-22-2018-Premier-League,Arsenal,Leicester City,1826.75390625,1690.28515625
2018-10-27,https://fbref.com/en/matches/51c18906/Fulham-Bournemouth-October-27-2018-Premier-League,Fulham,Bournemouth,1590.57177734,1686.67150879
2018-10-27,https://fbref.com/en/matches/8df7e453/Liverpool-Cardiff-City-October-27-2018-Premier-League,Liverpool,Cardiff City,1931.41308594,1553.94274902
2018-10-27,https://fbref.com/en/matches/af65625b/Watford-Huddersfield-Town-October-27-2018-Premier-League,Watford,Huddersfield,1648.13366699,1540.06323242
2018-10-27,https://fbref.com/en/matches/4e9ca23b/Southampton-Newcastle-United-October-27-2018-Premier-League,Southampton,Newcastle Utd,1624.58740234,1620.85644531
2018-10-27,https://fbref.com/en/matches/1b2a6c82/Brighton-and-Hove-Albion-Wolverhampton-Wanderers-October-27-2018-Premier-League,Brighton,Wolves,1636.41918945,1621.06750488
2018-10-27,https://fbref.com/en/matches/c55a55c7/Leicester-City-West-Ham-United-October-27-2018-Premier-League,Leicester City,West Ham,1685.73913574,1658.01391602
2018-10-28,https://fbref.com/en/matches/9113792c/Crystal-Palace-Arsenal-October-28-2018-Premier-League,Crystal Palace,Arsenal,1644.96264648,1839.67614746
2018-10-28,https://fbref.com/en/matches/69381f97/Burnley-Chelsea-October-28-2018-Premier-League,Burnley,Chelsea,1644.58764648,1857.30627441
2018-10-28,https://fbref.com/en/matches/746d865f/Manchester-United-Everton-October-28-2018-Premier-League,Manchester Utd,Everton,1837.90942383,1695.25158691
2018-10-29,https://fbref.com/en/matches/3d0bcdcb/Tottenham-Hotspur-Manchester-City-October-29-2018-Premier-League,Tottenham,Manchester City,1892.27075195,1975.71618652
2018-11-03,https://fbref.com/en/matches/e14699cb/Bournemouth-Manchester-United-November-3-2018-Premier-League,Bournemouth,Manchester Utd,1701.24084473,1840.53430176
2018-11-03,https://fbref.com/en/matches/e99cbd39/West-Ham-United-Burnley-November-3-2018-Premier-League,West Ham,Burnley,1663.13012695,1647.21252441
2018-11-03,https://fbref.com/en/matches/14512519/Cardiff-City-Leicester-City-November-3-2018-Premier-League,Cardiff City,Leicester City,1556.56762695,1685.87255859
2018-11-03,https://fbref.com/en/matches/b8e33f68/Newcastle-United-Watford-November-3-2018-Premier-League,Newcastle Utd,Watford,1625.3145752,1657.96447754
2018-11-03,https://fbref.com/en/matches/86e1f618/Everton-Brighton-and-Hove-Albion-November-3-2018-Premier-League,Everton,Brighton,1697.87634277,1639.04406738
2018-11-03,https://fbref.com/en/matches/09767606/Arsenal-Liverpool-November-3-2018-Premier-League,Arsenal,Liverpool,1849.23535156,1934.0378418
2018-11-03,https://fbref.com/en/matches/b8b6baee/Wolverhampton-Wanderers-Tottenham-Hotspur-November-3-2018-Premier-League,Wolves,Tottenham,1614.88098145,1892.27075195
2018-11-04,https://fbref.com/en/matches/7fcb3ecd/Manchester-City-Southampton-November-4-2018-Premier-League,Manchester City,Southampton,1978.34106445,1625.37890625
2018-11-04,https://fbref.com/en/matches/e7d32534/Chelsea-Crystal-Palace-November-4-2018-Premier-League,Chelsea,Crystal Palace,1861.06774902,1648.86889648
2018-11-05,https://fbref.com/en/matches/f7cf0ef1/Huddersfield-Town-Fulham-November-5-2018-Premier-League,Huddersfield,Fulham,1542.68811035,1593.19665527
2018-11-10,https://fbref.com/en/matches/da20ac20/Cardiff-City-Brighton-and-Hove-Albion-November-10-2018-Premier-League,Cardiff City,Brighton,1548.42687988,1637.18701172
2018-11-10,https://fbref.com/en/matches/bff91ca5/Leicester-City-Burnley-November-10-2018-Premier-League,Leicester City,Burnley,1691.65100098,1628.36303711
2018-11-10,https://fbref.com/en/matches/1c2533bb/Newcastle-United-Bournemouth-November-10-2018-Premier-League,Newcastle Utd,Bournemouth,1631.13452148,1695.0012207
2018-11-10,https://fbref.com/en/matches/dd70055f/Southampton-Watford-November-10-2018-Premier-League,Southampton,Watford,1622.70812988,1650.21618652
2018-11-10,https://fbref.com/en/matches/bbf296b3/Huddersfield-Town-West-Ham-United-November-10-2018-Premier-League,Huddersfield,West Ham,1542.73046875,1671.22045898
2018-11-10,https://fbref.com/en/matches/e2a8691e/Crystal-Palace-Tottenham-Hotspur-November-10-2018-Premier-League,Crystal Palace,Tottenham,1645.31445312,1890.33862305
2018-11-11,https://fbref.com/en/matches/44da6811/Liverpool-Fulham-November-11-2018-Premier-League,Liverpool,Fulham,1912.40161133,1573.25183105
2018-11-11,https://fbref.com/en/matches/ea236312/Chelsea-Everton-November-11-2018-Premier-League,Chelsea,Everton,1872.7010498,1700.50402832
2018-11-11,https://fbref.com/en/matches/78fdbaf6/Manchester-Derby-Manchester-City-Manchester-United-November-11-2018-Premier-League,Manchester City,Manchester Utd,1991.94763184,1863.66662598
2018-11-11,https://fbref.com/en/matches/419ce689/Arsenal-Wolverhampton-Wanderers-November-11-2018-Premier-League,Arsenal,Wolves,1838.6229248,1611.16784668
2018-11-24,https://fbref.com/en/matches/1e2866b1/Fulham-Southampton-November-24-2018-Premier-League,Fulham,Southampton,1572.07556152,1620.46435547
2018-11-24,https://fbref.com/en/matches/792b0e13/Everton-Cardiff-City-November-24-2018-Premier-League,Everton,Cardiff City,1700.50402832,1547.25048828
2018-11-24,https://fbref.com/en/matches/12d7dc7e/Manchester-United-Crystal-Palace-November-24-2018-Premier-League,Manchester Utd,Crystal Palace,1862.49023438,1640.33691406
2018-11-24,https://fbref.com/en/matches/cbebd176/Watford-Liverpool-November-24-2018-Premier-League,Watford,Liverpool,1650.1072998,1911.22521973
2018-11-24,https://fbref.com/en/matches/52005385/Brighton-and-Hove-Albion-Leicester-City-November-24-2018-Premier-League,Brighton,Leicester City,1627.11645508,1686.97766113
2018-11-24,https://fbref.com/en/matches/345e0f93/West-Ham-United-Manchester-City-November-24-2018-Premier-League,West Ham,Manchester City,1670.04406738,1990.77124023
2018-11-24,https://fbref.com/en/matches/2eca20e6/Tottenham-Hotspur-Chelsea-November-24-2018-Premier-League,Tottenham,Chelsea,1889.16223145,1873.88195801
2018-11-25,https://fbref.com/en/matches/753e2ff1/Bournemouth-Arsenal-November-25-2018-Premier-League,Bournemouth,Arsenal,1685.78442383,1831.74316406
2018-11-25,https://fbref.com/en/matches/afb0fe29/Wolverhampton-Wanderers-Huddersfield-Town-November-25-2018-Premier-League,Wolves,Huddersfield,1616.87121582,1541.55407715
2018-11-26,https://fbref.com/en/matches/11494d52/Burnley-Newcastle-United-November-26-2018-Premier-League,Burnley,Newcastle Utd,1631.85998535,1639.17504883
2018-11-30,https://fbref.com/en/matches/c8d648e4/Cardiff-City-Wolverhampton-Wanderers-November-30-2018-Premier-League,Cardiff City,Wolves,1551.28491211,1598.77734375
2018-12-01,https://fbref.com/en/matches/f54cc2e1/Manchester-City-Bournemouth-December-1-2018-Premier-League,Manchester City,Bournemouth,1994.55664062,1678.61633301
2018-12-01,https://fbref.com/en/matches/db20d5d7/Leicester-City-Watford-December-1-2018-Premier-League,Leicester City,Watford,1685.51379395,1642.57287598
2018-12-01,https://fbref.com/en/matches/c4b81247/Huddersfield-Town-Brighton-and-Hove-Albion-December-1-2018-Premier-League,Huddersfield,Brighton,1558.30786133,1628.03820801
2018-12-01,https://fbref.com/en/matches/4e78a620/Newcastle-United-West-Ham-United-December-1-2018-Premier-League,Newcastle Utd,West Ham,1647.1673584,1661.87109375
2018-12-01,https://fbref.com/en/matches/5fb5a6c9/Crystal-Palace-Burnley-December-1-2018-Premier-League,Crystal Palace,Burnley,1645.44604492,1620.7130127
2018-12-01,https://fbref.com/en/matches/981f33f6/Southampton-Manchester-United-December-1-2018-Premier-League,Southampton,Manchester Utd,1613.78198242,1851.36572266
2018-12-02,https://fbref.com/en/matches/3f74e2d2/Chelsea-Fulham-December-2-2018-Premier-League,Chelsea,Fulham,1858.12316895,1576.6541748
2018-12-02,https://fbref.com/en/matches/2ddc7388/North-London-Derby-Arsenal-Tottenham-Hotspur-December-2-2018-Premier-League,Arsenal,Tottenham,1835.7565918,1903.12585449
2018-12-02,https://fbref.com/en/matches/1f2c2385/Merseyside-Derby-Liverpool-Everton-December-2-2018-Premier-League,Liverpool,Everton,1911.05505371,1710.76989746
