time,week,day,date,home,home_xg,score,away_xg,away,attendance,venue,referee,home_link,away_link,match_link,report_link
15:00 (23:00),27,Sat,2017-03-04,Watford,3–4,Southampton,"20,670",Vicarage Road Stadium,Jonathan Moss,Match Report,,https://fbref.com/en/squads/2abfe087/2016-2017/Watford-Stats,https://fbref.com/en/squads/33c895d4/2016-2017/Southampton-Stats,https://fbref.com/en/matches/e0eca321/Watford-Southampton-March-4-2017-Premier-League,https://fbref.com/en/matches/e0eca321/Watford-Southampton-March-4-2017-Premier-League
15:00 (23:00),27,Sat,2017-03-04,Swansea City,3–2,Burnley,"20,679",Liberty Stadium,Anthony Taylor,Match Report,,https://fbref.com/en/squads/fb10988f/2016-2017/Swansea-City-Stats,https://fbref.com/en/squads/943e8050/2016-2017/Burnley-Stats,https://fbref.com/en/matches/92c4eebc/Swansea-City-Burnley-March-4-2017-Premier-League,https://fbref.com/en/matches/92c4eebc/Swansea-City-Burnley-March-4-2017-Premier-League
15:00 (23:00),27,Sat,2017-03-04,West Brom,0–2,Crystal Palace,"24,051",The Hawthorns,Mike Jones,Match Report,,https://fbref.com/en/squads/60c6b05f/2016-2017/West-Bromwich-Albion-Stats,https://fbref.com/en/squads/47c64c55/2016-2017/Crystal-Palace-Stats,https://fbref.com/en/matches/80c3d431/West-Bromwich-Albion-Crystal-Palace-March-4-2017-Premier-League,https://fbref.com/en/matches/80c3d431/West-Bromwich-Albion-Crystal-Palace-March-4-2017-Premier-League
17:30 (01:30),27,Sat,2017-03-04,Liverpool,3–1,Arsenal,"53,146",Anfield,Robert Madley,Match Report,,https://fbref.com/en/squads/822bd0ba/2016-2017/Liverpool-Stats,https://fbref.com/en/squads/18bb7c10/2016-2017/Arsenal-Stats,https://fbref.com/en/matches/f06bb82f/Liverpool-Arsenal-March-4-2017-Premier-League,https://fbref.com/en/matches/f06bb82f/Liverpool-Arsenal-March-4-2017-Premier-League
13:30 (21:30),27,Sun,2017-03-05,Tottenham,3–2,Everton,"31,962",White Hart Lane,Michael Oliver,Match Report,,https://fbref.com/en/squads/361ca564/2016-2017/Tottenham-Hotspur-Stats,https://fbref.com/en/squads/d3fd31cc/2016-2017/Everton-Stats,https://fbref.com/en/matches/f3357cd6/Tottenham-Hotspur-Everton-March-5-2017-Premier-League,https://fbref.com/en/matches/f3357cd6/Tottenham-Hotspur-Everton-March-5-2017-Premier-League
16:00 (00:00),27,Sun,2017-03-05,Sunderland,0–2,Manchester City,"41,107",Stadium of Light,Martin Atkinson,Match Report,,https://fbref.com/en/squads/8ef52968/2016-2017/Sunderland-Stats,https://fbref.com/en/squads/b8fd03ef/2016-2017/Manchester-City-Stats,https://fbref.com/en/matches/5677c7ef/Sunderland-Manchester-City-March-5-2017-Premier-League,https://fbref.com/en/matches/5677c7ef/Sunderland-Manchester-City-March-5-2017-Premier-League
20:00 (04:00),27,Mon,2017-03-06,West Ham,1–2,Chelsea,"56,984",London Stadium,Andre Marriner,Match Report,,https://fbref.com/en/squads/7c21e445/2016-2017/West-Ham-United-Stats,https://fbref.com/en/squads/cff3d9bb/2016-2017/Chelsea-Stats,https://fbref.com/en/matches/5df46c2e/West-Ham-United-Chelsea-March-6-2017-Premier-League,https://fbref.com/en/matches/5df46c2e/West-Ham-United-Chelsea-March-6-2017-Premier-League
20:00 (04:00),28,Wed,2017-03-08,Manchester City,0–0,Stoke City,"52,625",Etihad Stadium,Niel Swarbrick,Match Report,,https://fbref.com/en/squads/b8fd03ef/2016-2017/Manchester-City-Stats,https://fbref.com/en/squads/17892952/2016-2017/Stoke-City-Stats,https://fbref.com/en/matches/a1c52fa9/Manchester-City-Stoke-City-March-8-2017-Premier-League,https://fbref.com/en/matches/a1c52fa9/Manchester-City-Stoke-City-March-8-2017-Premier-League
15:00 (23:00),28,Sat,2017-03-11,Bournemouth,3–2,West Ham,"11,369",Vitality Stadium,Robert Madley,Match Report,,https://fbref.com/en/squads/4ba7cbea/2016-2017/Bournemouth-Stats,https://fbref.com/en/squads/7c21e445/2016-2017/West-Ham-United-Stats,https://fbref.com/en/matches/4e33bdd5/Bournemouth-West-Ham-United-March-11-2017-Premier-League,https://fbref.com/en/matches/4e33bdd5/Bournemouth-West-Ham-United-March-11-2017-Premier-League
15:00 (23:00),28,Sat,2017-03-11,Hull City,2–1,Swansea City,"19,195",Kingston Communications Stadium,Andre Marriner,Match Report,,https://fbref.com/en/squads/bd8769d1/2016-2017/Hull-City-Stats,https://fbref.com/en/squads/fb10988f/2016-2017/Swansea-City-Stats,https://fbref.com/en/matches/25e9da07/Hull-City-Swansea-City-March-11-2017-Premier-League,https://fbref.com/en/matches/25e9da07/Hull-City-Swansea-City-March-11-2017-Premier-League
15:00 (23:00),28,Sat,2017-03-11,Everton,3–0,West Brom,"39,592",Goodison Park,Graham Scott,Match Report,,https://fbref.com/en/squads/d3fd31cc/2016-2017/Everton-Stats,https://fbref.com/en/squads/60c6b05f/2016-2017/West-Bromwich-Albion-Stats,https://fbref.com/en/matches/a41c0118/Everton-West-Bromwich-Albion-March-11-2017-Premier-League,https://fbref.com/en/matches/a41c0118/Everton-West-Bromwich-Albion-March-11-2017-Premier-League
16:00 (00:00),28,Sun,2017-03-12,Liverpool,2–1,Burnley,"53,145",Anfield,Craig Pawson,Match Report,,https://fbref.com/en/squads/822bd0ba/2016-2017/Liverpool-Stats,https://fbref.com/en/squads/943e8050/2016-2017/Burnley-Stats,https://fbref.com/en/matches/c11cdaf7/Liverpool-Burnley-March-12-2017-Premier-League,https://fbref.com/en/matches/c11cdaf7/Liverpool-Burnley-March-12-2017-Premier-League
12:30 (20:30),29,Sat,2017-03-18,West Brom,3–1,Arsenal,"24,065",The Hawthorns,Niel Swarbrick,Match Report,,https://fbref.com/en/squads/60c6b05f/2016-2017/West-Bromwich-Albion-Stats,https://fbref.com/en/squads/18bb7c10/2016-2017/Arsenal-Stats,https://fbref.com/en/matches/d1bac114/West-Bromwich-Albion-Arsenal-March-18-2017-Premier-League,https://fbref.com/en/matches/d1bac114/West-Bromwich-Albion-Arsenal-March-18-2017-Premier-League
15:00 (23:00),29,Sat,2017-03-18,West Ham,2–3,Leicester City,"56,979",London Stadium,Roger East,Match Report,,https://fbref.com/en/squads/7c21e445/2016-2017/West-Ham-United-Stats,https://fbref.com/en/squads/a2d435b3/2016-2017/Leicester-City-Stats,https://fbref.com/en/matches/78912438/West-Ham-United-Leicester-City-March-18-2017-Premier-League,https://fbref.com/en/matches/78912438/West-Ham-United-Leicester-City-March-18-2017-Premier-League
15:00 (23:00),29,Sat,2017-03-18,Crystal Palace,1–0,Watford,"25,109",Selhurst Park,Martin Atkinson,Match Report,,https://fbref.com/en/squads/47c64c55/2016-2017/Crystal-Palace-Stats,https://fbref.com/en/squads/2abfe087/2016-2017/Watford-Stats,https://fbref.com/en/matches/5280c1f6/Crystal-Palace-Watford-March-18-2017-Premier-League,https://fbref.com/en/matches/5280c1f6/Crystal-Palace-Watford-March-18-2017-Premier-League
15:00 (23:00),29,Sat,2017-03-18,Sunderland,0–0,Burnley,"41,518",Stadium of Light,Robert Madley,Match Report,,https://fbref.com/en/squads/8ef52968/2016-2017/Sunderland-Stats,https://fbref.com/en/squads/943e8050/2016-2017/Burnley-Stats,https://fbref.com/en/matches/6c231d40/Sunderland-Burnley-March-18-2017-Premier-League,https://fbref.com/en/matches/6c231d40/Sunderland-Burnley-March-18-2017-Premier-League
15:00 (23:00),29,Sat,2017-03-18,Everton,4–0,Hull City,"39,248",Goodison Park,Paul Tierney,Match Report,,https://fbref.com/en/squads/d3fd31cc/2016-2017/Everton-Stats,https://fbref.com/en/squads/bd8769d1/2016-2017/Hull-City-Stats,https://fbref.com/en/matches/b09a27fa/Everton-Hull-City-March-18-2017-Premier-League,https://fbref.com/en/matches/b09a27fa/Everton-Hull-City-March-18-2017-Premier-League
15:00 (23:00),29,Sat,2017-03-18,Stoke City,1–2,Chelsea,"27,724",Bet365 Stadium,Anthony Taylor,Match Report,,https://fbref.com/en/squads/17892952/2016-2017/Stoke-City-Stats,https://fbref.com/en/squads/cff3d9bb/2016-2017/Chelsea-Stats,https://fbref.com/en/matches/8236f1ea/Stoke-City-Chelsea-March-18-2017-Premier-League,https://fbref.com/en/matches/8236f1ea/Stoke-City-Chelsea-March-18-2017-Premier-League
17:30 (01:30),29,Sat,2017-03-18,Bournemouth,2–0,Swansea City,"11,240",Vitality Stadium,Mike Dean,Match Report,,https://fbref.com/en/squads/4ba7cbea/2016-2017/Bournemouth-Stats,https://fbref.com/en/squads/fb10988f/2016-2017/Swansea-City-Stats,https://fbref.com/en/matches/c45bd708/Bournemouth-Swansea-City-March-18-2017-Premier-League,https://fbref.com/en/matches/c45bd708/Bournemouth-Swansea-City-March-18-2017-Premier-League
12:00 (20:00),29,Sun,2017-03-19,Middlesbrough,1–3,Manchester Utd,"32,689",Riverside Stadium,Jonathan Moss,Match Report,,https://fbref.com/en/squads/7f59c601/2016-2017/Middlesbrough-Stats,https://fbref.com/en/squads/19538871/2016-2017/Manchester-United-Stats,https://fbref.com/en/matches/8ee095f5/Middlesbrough-Manchester-United-March-19-2017-Premier-League,https://fbref.com/en/matches/8ee095f5/Middlesbrough-Manchester-United-March-19-2017-Premier-League
14:15 (22:15),29,Sun,2017-03-19,Tottenham,2–1,Southampton,"31,697",White Hart Lane,Andre Marriner,Match Report,,https://fbref.com/en/squads/361ca564/2016-2017/Tottenham-Hotspur-Stats,https://fbref.com/en/squads/33c895d4/2016-2017/Southampton-Stats,https://fbref.com/en/matches/a821687a/Tottenham-Hotspur-Southampton-March-19-2017-Premier-League,https://fbref.com/en/matches/a821687a/Tottenham-Hotspur-Southampton-March-19-2017-Premier-League
16:30 (00:30),29,Sun,2017-03-19,Manchester City,1–1,Liverpool,"54,449",Etihad Stadium,Michael Oliver,Match Report,,https://fbref.com/en/squads/b8fd03ef/2016-2017/Manchester-City-Stats,https://fbref.com/en/squads/822bd0ba/2016-2017/Liverpool-Stats,https://fbref.com/en/matches/32b76e9e/Manchester-City-Liverpool-March-19-2017-Premier-League,https://fbref.com/en/matches/32b76e9e/Manchester-City-Liverpool-March-19-2017-Premier-League
12:30 (19:30),30,Sat,2017-04-01,Liverpool,3–1,Everton,"52,920",Anfield,Anthony Taylor,Match Report,,https://fbref.com/en/squads/822bd0ba/2016-2017/Liverpool-Stats,https://fbref.com/en/squads/d3fd31cc/2016-2017/Everton-Stats,https://fbref.com/en/matches/12d67737/Merseyside-Derby-Liverpool-Everton-April-1-2017-Premier-League,https://fbref.com/en/matches/12d67737/Merseyside-Derby-Liverpool-Everton-April-1-2017-Premier-League
15:00 (22:00),30,Sat,2017-04-01,Chelsea,1–2,Crystal Palace,"41,489",Stamford Bridge,Craig Pawson,Match Report,,https://fbref.com/en/squads/cff3d9bb/2016-2017/Chelsea-Stats,https://fbref.com/en/squads/47c64c55/2016-2017/Crystal-Palace-Stats,https://fbref.com/en/matches/ec549f90/Chelsea-Crystal-Palace-April-1-2017-Premier-League,https://fbref.com/en/matches/ec549f90/Chelsea-Crystal-Palace-April-1-2017-Premier-League
15:00 (22:00),30,Sat,2017-04-01,Hull City,2–1,West Ham,"20,820",Kingston Communications Stadium,Mike Jones,Match Report,,https://fbref.com/en/squads/bd8769d1/2016-2017/Hull-City-Stats,https://fbref.com/en/squads/7c21e445/2016-2017/West-Ham-United-Stats,https://fbref.com/en/matches/10a2b988/Hull-City-West-Ham-United-April-1-2017-Premier-League,https://fbref.com/en/matches/10a2b988/Hull-City-West-Ham-United-April-1-2017-Premier-League
15:00 (22:00),30,Sat,2017-04-01,Burnley,0–2,Tottenham,"21,684",Turf Moor,Stuart Attwell,Match Report,,https://fbref.com/en/squads/943e8050/2016-2017/Burnley-Stats,https://fbref.com/en/squads/361ca564/2016-2017/Tottenham-Hotspur-Stats,https://fbref.com/en/matches/d4909343/Burnley-Tottenham-Hotspur-April-1-2017-Premier-League,https://fbref.com/en/matches/d4909343/Burnley-Tottenham-Hotspur-April-1-2017-Premier-League
15:00 (22:00),30,Sat,2017-04-01,Watford,1–0,Sunderland,"20,805",Vicarage Road Stadium,Lee Probert,Match Report,,https://fbref.com/en/squads/2abfe087/2016-2017/Watford-Stats,https://fbref.com/en/squads/8ef52968/2016-2017/Sunderland-Stats,https://fbref.com/en/matches/3e6fe70c/Watford-Sunderland-April-1-2017-Premier-League,https://fbref.com/en/matches/3e6fe70c/Watford-Sunderland-April-1-2017-Premier-League
15:00 (22:00),30,Sat,2017-04-01,Leicester City,2–0,Stoke City,"31,958",King Power Stadium,Lee Mason,Match Report,,https://fbref.com/en/squads/a2d435b3/2016-2017/Leicester-City-Stats,https://fbref.com/en/squads/17892952/2016-2017/Stoke-City-Stats,https://fbref.com/en/matches/6a26d075/Leicester-City-Stoke-City-April-1-2017-Premier-League,https://fbref.com/en/matches/6a26d075/Leicester-City-Stoke-City-April-1-2017-Premier-League
15:00 (22:00),30,Sat,2017-04-01,Manchester Utd,0–0,West Brom,"75,397",Old Trafford,Mike Dean,Match Report,,https://fbref.com/en/squads/19538871/2016-2017/Manchester-United-Stats,https://fbref.com/en/squads/60c6b05f/2016-2017/West-Bromwich-Albion-Stats,https://fbref.com/en/matches/d20dcd06/Manchester-United-West-Bromwich-Albion-April-1-2017-Premier-League,https://fbref.com/en/matches/d20dcd06/Manchester-United-West-Bromwich-Albion-April-1-2017-Premier-League
17:30 (00:30),30,Sat,2017-04-01,Southampton,0–0,Bournemouth,"31,847",St. Mary's Stadium,Jonathan Moss,Match Report,,https://fbref.com/en/squads/33c895d4/2016-2017/Southampton-Stats,https://fbref.com/en/squads/4ba7cbea/2016-2017/Bournemouth-Stats,https://fbref.com/en/matches/2a16573d/Southampton-Bournemouth-April-1-2017-Premier-League,https://fbref.com/en/matches/2a16573d/Southampton-Bournemouth-April-1-2017-Premier-League
13:30 (20:30),30,Sun,2017-04-02,Swansea City,0–0,Middlesbrough,"20,354",Liberty Stadium,Robert Madley,Match Report,,https://fbref.com/en/squads/fb10988f/2016-2017/Swansea-City-Stats,https://fbref.com/en/squads/7f59c601/2016-2017/Middlesbrough-Stats,https://fbref.com/en/matches/27935d17/Swansea-City-Middlesbrough-April-2-2017-Premier-League,https://fbref.com/en/matches/27935d17/Swansea-City-Middlesbrough-April-2-2017-Premier-League
16:00 (23:00),30,Sun,2017-04-02,Arsenal,2–2,Manchester City,"60,001",Emirates Stadium,Andre Marriner,Match Report,,https://fbref.com/en/squads/18bb7c10/2016-2017/Arsenal-Stats,https://fbref.com/en/squads/b8fd03ef/2016-2017/Manchester-City-Stats,https://fbref.com/en/matches/283ef914/Arsenal-Manchester-City-April-2-2017-Premier-League,https://fbref.com/en/matches/283ef914/Arsenal-Manchester-City-April-2-2017-Premier-League
19:45 (02:45),31,Tue,2017-04-04,Burnley,1–0,Stoke City,"19,881",Turf Moor,Kevin Friend,Match Report,,https://fbref.com/en/squads/943e8050/2016-2017/Burnley-Stats,https://fbref.com/en/squads/17892952/2016-2017/Stoke-City-Stats,https://fbref.com/en/matches/5d96a379/Burnley-Stoke-City-April-4-2017-Premier-League,https://fbref.com/en/matches/5d96a379/Burnley-Stoke-City-April-4-2017-Premier-League
19:45 (02:45),31,Tue,2017-04-04,Watford,2–0,West Brom,"20,090",Vicarage Road Stadium,Paul Tierney,Match Report,,https://fbref.com/en/squads/2abfe087/2016-2017/Watford-Stats,https://fbref.com/en/squads/60c6b05f/2016-2017/West-Bromwich-Albion-Stats,https://fbref.com/en/matches/205a52ed/Watford-West-Bromwich-Albion-April-4-2017-Premier-League,https://fbref.com/en/matches/205a52ed/Watford-West-Bromwich-Albion-April-4-2017-Premier-League
19:45 (02:45),31,Tue,2017-04-04,Leicester City,2–0,Sunderland,"31,757",King Power Stadium,Graham Scott,Match Report,,https://fbref.com/en/squads/a2d435b3/2016-2017/Leicester-City-Stats,https://fbref.com/en/squads/8ef52968/2016-2017/Sunderland-Stats,https://fbref.com/en/matches/490bad74/Leicester-City-Sunderland-April-4-2017-Premier-League,https://fbref.com/en/matches/490bad74/Leicester-City-Sunderland-April-4-2017-Premier-League
20:00 (03:00),31,Tue,2017-04-04,Manchester Utd,1–1,Everton,"75,272",Old Trafford,Niel Swarbrick,Match Report,,https://fbref.com/en/squads/19538871/2016-2017/Manchester-United-Stats,https://fbref.com/en/squads/d3fd31cc/2016-2017/Everton-Stats,https://fbref.com/en/matches/4b143a1f/Manchester-United-Everton-April-4-2017-Premier-League,https://fbref.com/en/matches/4b143a1f/Manchester-United-Everton-April-4-2017-Premier-League
19:45 (02:45),31,Wed,2017-04-05,Swansea City,1–3,Tottenham,"20,855",Liberty Stadium,Jonathan Moss,Match Report,,https://fbref.com/en/squads/fb10988f/2016-2017/Swansea-City-Stats,https://fbref.com/en/squads/361ca564/2016-2017/Tottenham-Hotspur-Stats,https://fbref.com/en/matches/b2a8bd9a/Swansea-City-Tottenham-Hotspur-April-5-2017-Premier-League,https://fbref.com/en/matches/b2a8bd9a/Swansea-City-Tottenham-Hotspur-April-5-2017-Premier-League
19:45 (02:45),31,Wed,2017-04-05,Southampton,3–1,Crystal Palace,"29,968",St. Mary's Stadium,Roger East,Match Report,,https://fbref.com/en/squads/33c895d4/2016-2017/Southampton-Stats,https://fbref.com/en/squads/47c64c55/2016-2017/Crystal-Palace-Stats,https://fbref.com/en/matches/997a77b5/Southampton-Crystal-Palace-April-5-2017-Premier-League,https://fbref.com/en/matches/997a77b5/Southampton-Crystal-Palace-April-5-2017-Premier-League
19:45 (02:45),31,Wed,2017-04-05,Arsenal,3–0,West Ham,"59,961",Emirates Stadium,Martin Atkinson,Match Report,,https://fbref.com/en/squads/18bb7c10/2016-2017/Arsenal-Stats,https://fbref.com/en/squads/7c21e445/2016-2017/West-Ham-United-Stats,https://fbref.com/en/matches/99d5f0d0/Arsenal-West-Ham-United-April-5-2017-Premier-League,https://fbref.com/en/matches/99d5f0d0/Arsenal-West-Ham-United-April-5-2017-Premier-League
19:45 (02:45),31,Wed,2017-04-05,Hull City,4–2,Middlesbrough,"20,380",Kingston Communications Stadium,Michael Oliver,Match Report,,https://fbref.com/en/squads/bd8769d1/2016-2017/Hull-City-Stats,https://fbref.com/en/squads/7f59c601/2016-2017/Middlesbrough-Stats,https://fbref.com/en/matches/d968d3e0/Hull-City-Middlesbrough-April-5-2017-Premier-League,https://fbref.com/en/matches/d968d3e0/Hull-City-Middlesbrough-April-5-2017-Premier-League
20:00 (03:00),31,Wed,2017-04-05,Liverpool,2–2,Bournemouth,"53,292",Anfield,Lee Mason,Match Report,,https://fbref.com/en/squads/822bd0ba/2016-2017/Liverpool-Stats,https://fbref.com/en/squads/4ba7cbea/2016-2017/Bournemouth-Stats,https://fbref.com/en/matches/5f295262/Liverpool-Bournemouth-April-5-2017-Premier-League,https://fbref.com/en/matches/5f295262/Liverpool-Bournemouth-April-5-2017-Premier-League
20:00 (03:00),31,Wed,2017-04-05,Chelsea,2–1,Manchester City,"41,528",Stamford Bridge,Mike Dean,Match Report,,https://fbref.com/en/squads/cff3d9bb/2016-2017/Chelsea-Stats,https://fbref.com/en/squads/b8fd03ef/2016-2017/Manchester-City-Stats,https://fbref.com/en/matches/ef6fa9d9/Chelsea-Manchester-City-April-5-2017-Premier-League,https://fbref.com/en/matches/ef6fa9d9/Chelsea-Manchester-City-April-5-2017-Premier-League
12:30 (19:30),32,Sat,2017-04-08,Tottenham,4–0,Watford,"31,706",White Hart Lane,Anthony Taylor,Match Report,,https://fbref.com/en/squads/361ca564/2016-2017/Tottenham-Hotspur-Stats,https://fbref.com/en/squads/2abfe087/2016-2017/Watford-Stats,https://fbref.com/en/matches/6f85e5d6/Tottenham-Hotspur-Watford-April-8-2017-Premier-League,https://fbref.com/en/matches/6f85e5d6/Tottenham-Hotspur-Watford-April-8-2017-Premier-League
15:00 (22:00),32,Sat,2017-04-08,Middlesbrough,0–0,Burnley,"29,547",Riverside Stadium,Martin Atkinson,Match Report,,https://fbref.com/en/squads/7f59c601/2016-2017/Middlesbrough-Stats,https://fbref.com/en/squads/943e8050/2016-2017/Burnley-Stats,https://fbref.com/en/matches/7fd0335f/Middlesbrough-Burnley-April-8-2017-Premier-League,https://fbref.com/en/matches/7fd0335f/Middlesbrough-Burnley-April-8-2017-Premier-League
15:00 (22:00),32,Sat,2017-04-08,West Brom,0–1,Southampton,"24,697",The Hawthorns,Chris Kavanagh,Match Report,,https://fbref.com/en/squads/60c6b05f/2016-2017/West-Bromwich-Albion-Stats,https://fbref.com/en/squads/33c895d4/2016-2017/Southampton-Stats,https://fbref.com/en/matches/8d876e96/West-Bromwich-Albion-Southampton-April-8-2017-Premier-League,https://fbref.com/en/matches/8d876e96/West-Bromwich-Albion-Southampton-April-8-2017-Premier-League
15:00 (22:00),32,Sat,2017-04-08,West Ham,1–0,Swansea City,"56,973",London Stadium,Kevin Friend,Match Report,,https://fbref.com/en/squads/7c21e445/2016-2017/West-Ham-United-Stats,https://fbref.com/en/squads/fb10988f/2016-2017/Swansea-City-Stats,https://fbref.com/en/matches/d3697bac/West-Ham-United-Swansea-City-April-8-2017-Premier-League,https://fbref.com/en/matches/d3697bac/West-Ham-United-Swansea-City-April-8-2017-Premier-League
15:00 (22:00),32,Sat,2017-04-08,Stoke City,1–2,Liverpool,"27,568",Bet365 Stadium,Mike Dean,Match Report,,https://fbref.com/en/squads/17892952/2016-2017/Stoke-City-Stats,https://fbref.com/en/squads/822bd0ba/2016-2017/Liverpool-Stats,https://fbref.com/en/matches/70662360/Stoke-City-Liverpool-April-8-2017-Premier-League,https://fbref.com/en/matches/70662360/Stoke-City-Liverpool-April-8-2017-Premier-League
15:00 (22:00),32,Sat,2017-04-08,Manchester City,3–1,Hull City,"54,393",Etihad Stadium,Jonathan Moss,Match Report,,https://fbref.com/en/squads/b8fd03ef/2016-2017/Manchester-City-Stats,https://fbref.com/en/squads/bd8769d1/2016-2017/Hull-City-Stats,https://fbref.com/en/matches/14afe049/Manchester-City-Hull-City-April-8-2017-Premier-League,https://fbref.com/en/matches/14afe049/Manchester-City-Hull-City-April-8-2017-Premier-League
17:30 (00:30),32,Sat,2017-04-08,Bournemouth,1–3,Chelsea,"11,283",Vitality Stadium,Andre Marriner,Match Report,,https://fbref.com/en/squads/4ba7cbea/2016-2017/Bournemouth-Stats,https://fbref.com/en/squads/cff3d9bb/2016-2017/Chelsea-Stats,https://fbref.com/en/matches/d851424c/Bournemouth-Chelsea-April-8-2017-Premier-League,https://fbref.com/en/matches/d851424c/Bournemouth-Chelsea-April-8-2017-Premier-League
13:30 (20:30),32,Sun,2017-04-09,Sunderland,0–3,Manchester Utd,"43,779",Stadium of Light,Craig Pawson,Match Report,,https://fbref.com/en/squads/8ef52968/2016-2017/Sunderland-Stats,https://fbref.com/en/squads/19538871/2016-2017/Manchester-United-Stats,https://fbref.com/en/matches/7c9edf09/Sunderland-Manchester-United-April-9-2017-Premier-League,https://fbref.com/en/matches/7c9edf09/Sunderland-Manchester-United-April-9-2017-Premier-League
16:00 (23:00),32,Sun,2017-04-09,Everton,4–2,Leicester City,"39,573",Goodison Park,Robert Madley,Match Report,,https://fbref.com/en/squads/d3fd31cc/2016-2017/Everton-Stats,https://fbref.com/en/squads/a2d435b3/2016-2017/Leicester-City-Stats,https://fbref.com/en/matches/7401712b/Everton-Leicester-City-April-9-2017-Premier-League,https://fbref.com/en/matches/7401712b/Everton-Leicester-City-April-9-2017-Premier-League
20:00 (03:00),32,Mon,2017-04-10,Crystal Palace,3–0,Arsenal,"25,648",Selhurst Park,Michael Oliver,Match Report,,https://fbref.com/en/squads/47c64c55/2016-2017/Crystal-Palace-Stats,https://fbref.com/en/squads/18bb7c10/2016-2017/Arsenal-Stats,https://fbref.com/en/matches/78f9825c/Crystal-Palace-Arsenal-April-10-2017-Premier-League,https://fbref.com/en/matches/78f9825c/Crystal-Palace-Arsenal-April-10-2017-Premier-League
12:30 (19:30),33,Sat,2017-04-15,Tottenham,4–0,Bournemouth,"31,943",White Hart Lane,Michael Oliver,Match Report,,https://fbref.com/en/squads/361ca564/2016-2017/Tottenham-Hotspur-Stats,https://fbref.com/en/squads/4ba7cbea/2016-2017/Bournemouth-Stats,https://fbref.com/en/matches/b6799169/Tottenham-Hotspur-Bournemouth-April-15-2017-Premier-League,https://fbref.com/en/matches/b6799169/Tottenham-Hotspur-Bournemouth-April-15-2017-Premier-League
15:00 (22:00),33,Sat,2017-04-15,Watford,1–0,Swansea City,"20,272",Vicarage Road Stadium,Lee Mason,Match Report,,https://fbref.com/en/squads/2abfe087/2016-2017/Watford-Stats,https://fbref.com/en/squads/fb10988f/2016-2017/Swansea-City-Stats,https://fbref.com/en/matches/a570a1ad/Watford-Swansea-City-April-15-2017-Premier-League,https://fbref.com/en/matches/a570a1ad/Watford-Swansea-City-April-15-2017-Premier-League
15:00 (22:00),33,Sat,2017-04-15,Everton,3–1,Burnley,"39,328",Goodison Park,Mark Clattenburg,Match Report,,https://fbref.com/en/squads/d3fd31cc/2016-2017/Everton-Stats,https://fbref.com/en/squads/943e8050/2016-2017/Burnley-Stats,https://fbref.com/en/matches/3e5420a6/Everton-Burnley-April-15-2017-Premier-League,https://fbref.com/en/matches/3e5420a6/Everton-Burnley-April-15-2017-Premier-League
15:00 (22:00),33,Sat,2017-04-15,Crystal Palace,2–2,Leicester City,"25,504",Selhurst Park,Mike Dean,Match Report,,https://fbref.com/en/squads/47c64c55/2016-2017/Crystal-Palace-Stats,https://fbref.com/en/squads/a2d435b3/2016-2017/Leicester-City-Stats,https://fbref.com/en/matches/1462a754/Crystal-Palace-Leicester-City-April-15-2017-Premier-League,https://fbref.com/en/matches/1462a754/Crystal-Palace-Leicester-City-April-15-2017-Premier-League
15:00 (22:00),33,Sat,2017-04-15,Stoke City,3–1,Hull City,"27,505",Bet365 Stadium,Stuart Attwell,Match Report,,https://fbref.com/en/squads/17892952/2016-2017/Stoke-City-Stats,https://fbref.com/en/squads/bd8769d1/2016-2017/Hull-City-Stats,https://fbref.com/en/matches/613431fe/Stoke-City-Hull-City-April-15-2017-Premier-League,https://fbref.com/en/matches/613431fe/Stoke-City-Hull-City-April-15-2017-Premier-League
15:00 (22:00),33,Sat,2017-04-15,Sunderland,2–2,West Ham,"40,168",Stadium of Light,Andre Marriner,Match Report,,https://fbref.com/en/squads/8ef52968/2016-2017/Sunderland-Stats,https://fbref.com/en/squads/7c21e445/2016-2017/West-Ham-United-Stats,https://fbref.com/en/matches/d2d95c8f/Sunderland-West-Ham-United-April-15-2017-Premier-League,https://fbref.com/en/matches/d2d95c8f/Sunderland-West-Ham-United-April-15-2017-Premier-League
17:30 (00:30),33,Sat,2017-04-15,Southampton,0–3,Manchester City,"31,850",St. Mary's Stadium,Niel Swarbrick,Match Report,,https://fbref.com/en/squads/33c895d4/2016-2017/Southampton-Stats,https://fbref.com/en/squads/b8fd03ef/2016-2017/Manchester-City-Stats,https://fbref.com/en/matches/cbe56c66/Southampton-Manchester-City-April-15-2017-Premier-League,https://fbref.com/en/matches/cbe56c66/Southampton-Manchester-City-April-15-2017-Premier-League
13:30 (20:30),33,Sun,2017-04-16,West Brom,0–1,Liverpool,"25,669",The Hawthorns,Jonathan Moss,Match Report,,https://fbref.com/en/squads/60c6b05f/2016-2017/West-Bromwich-Albion-Stats,https://fbref.com/en/squads/822bd0ba/2016-2017/Liverpool-Stats,https://fbref.com/en/matches/dde3ab57/West-Bromwich-Albion-Liverpool-April-16-2017-Premier-League,https://fbref.com/en/matches/dde3ab57/West-Bromwich-Albion-Liverpool-April-16-2017-Premier-League
