time,week,day,date,home,home_xg,score,away_xg,away,attendance,venue,referee,home_link,away_link,match_link,report_link
17:30 (01:30),22,Sat,2017-01-21,Manchester City,2–2,Tottenham,"54,402",Etihad Stadium,Andre Marriner,Match Report,,https://fbref.com/en/squads/b8fd03ef/2016-2017/Manchester-City-Stats,https://fbref.com/en/squads/361ca564/2016-2017/Tottenham-Hotspur-Stats,https://fbref.com/en/matches/4dd8b1ea/Manchester-City-Tottenham-Hotspur-January-21-2017-Premier-League,https://fbref.com/en/matches/4dd8b1ea/Manchester-City-Tottenham-Hotspur-January-21-2017-Premier-League
12:00 (20:00),22,Sun,2017-01-22,Southampton,3–0,Leicester City,"30,548",St. Mary's Stadium,Michael Oliver,Match Report,,https://fbref.com/en/squads/33c895d4/2016-2017/Southampton-Stats,https://fbref.com/en/squads/a2d435b3/2016-2017/Leicester-City-Stats,https://fbref.com/en/matches/10bfa507/Southampton-Leicester-City-January-22-2017-Premier-League,https://fbref.com/en/matches/10bfa507/Southampton-Leicester-City-January-22-2017-Premier-League
14:15 (22:15),22,Sun,2017-01-22,Arsenal,2–1,Burnley,"59,955",Emirates Stadium,Jonathan Moss,Match Report,,https://fbref.com/en/squads/18bb7c10/2016-2017/Arsenal-Stats,https://fbref.com/en/squads/943e8050/2016-2017/Burnley-Stats,https://fbref.com/en/matches/ff6cad57/Arsenal-Burnley-January-22-2017-Premier-League,https://fbref.com/en/matches/ff6cad57/Arsenal-Burnley-January-22-2017-Premier-League
16:30 (00:30),22,Sun,2017-01-22,Chelsea,2–0,Hull City,"41,605",Stamford Bridge,Niel Swarbrick,Match Report,,https://fbref.com/en/squads/cff3d9bb/2016-2017/Chelsea-Stats,https://fbref.com/en/squads/bd8769d1/2016-2017/Hull-City-Stats,https://fbref.com/en/matches/028caf73/Chelsea-Hull-City-January-22-2017-Premier-League,https://fbref.com/en/matches/028caf73/Chelsea-Hull-City-January-22-2017-Premier-League
19:45 (03:45),23,Tue,2017-01-31,Swansea City,2–1,Southampton,"20,359",Liberty Stadium,Roger East,Match Report,,https://fbref.com/en/squads/fb10988f/2016-2017/Swansea-City-Stats,https://fbref.com/en/squads/33c895d4/2016-2017/Southampton-Stats,https://fbref.com/en/matches/f133a616/Swansea-City-Southampton-January-31-2017-Premier-League,https://fbref.com/en/matches/f133a616/Swansea-City-Southampton-January-31-2017-Premier-League
19:45 (03:45),23,Tue,2017-01-31,Bournemouth,0–2,Crystal Palace,"11,286",Vitality Stadium,Jonathan Moss,Match Report,,https://fbref.com/en/squads/4ba7cbea/2016-2017/Bournemouth-Stats,https://fbref.com/en/squads/47c64c55/2016-2017/Crystal-Palace-Stats,https://fbref.com/en/matches/ade92591/Bournemouth-Crystal-Palace-January-31-2017-Premier-League,https://fbref.com/en/matches/ade92591/Bournemouth-Crystal-Palace-January-31-2017-Premier-League
19:45 (03:45),23,Tue,2017-01-31,Sunderland,0–0,Tottenham,"40,058",Stadium of Light,Lee Mason,Match Report,,https://fbref.com/en/squads/8ef52968/2016-2017/Sunderland-Stats,https://fbref.com/en/squads/361ca564/2016-2017/Tottenham-Hotspur-Stats,https://fbref.com/en/matches/0ce1d380/Sunderland-Tottenham-Hotspur-January-31-2017-Premier-League,https://fbref.com/en/matches/0ce1d380/Sunderland-Tottenham-Hotspur-January-31-2017-Premier-League
19:45 (03:45),23,Tue,2017-01-31,Arsenal,1–2,Watford,"60,035",Emirates Stadium,Andre Marriner,Match Report,,https://fbref.com/en/squads/18bb7c10/2016-2017/Arsenal-Stats,https://fbref.com/en/squads/2abfe087/2016-2017/Watford-Stats,https://fbref.com/en/matches/eef8e264/Arsenal-Watford-January-31-2017-Premier-League,https://fbref.com/en/matches/eef8e264/Arsenal-Watford-January-31-2017-Premier-League
19:45 (03:45),23,Tue,2017-01-31,Burnley,1–0,Leicester City,"19,202",Turf Moor,Mike Dean,Match Report,,https://fbref.com/en/squads/943e8050/2016-2017/Burnley-Stats,https://fbref.com/en/squads/a2d435b3/2016-2017/Leicester-City-Stats,https://fbref.com/en/matches/84395e89/Burnley-Leicester-City-January-31-2017-Premier-League,https://fbref.com/en/matches/84395e89/Burnley-Leicester-City-January-31-2017-Premier-League
19:45 (03:45),23,Tue,2017-01-31,Middlesbrough,1–1,West Brom,"27,316",Riverside Stadium,Stuart Attwell,Match Report,,https://fbref.com/en/squads/7f59c601/2016-2017/Middlesbrough-Stats,https://fbref.com/en/squads/60c6b05f/2016-2017/West-Bromwich-Albion-Stats,https://fbref.com/en/matches/14625650/Middlesbrough-West-Bromwich-Albion-January-31-2017-Premier-League,https://fbref.com/en/matches/14625650/Middlesbrough-West-Bromwich-Albion-January-31-2017-Premier-League
