league,week,day,date,time,home,home_xg,score,away_xg,away,attendance,venue,referee,match_report,home_link,away_link,match_link,report_link
ISA,1,Sat,2019-08-24,18:00 (00:00),Parma,0.4,0–1,1.3,Juventus,"20,073",Stadio Ennio Tardini,Fabio Maresca,Match Report,https://fbref.com/en/squads/eab4234c/2019-2020/Parma-Stats,https://fbref.com/en/squads/e0652b02/2019-2020/Juventus-Stats,https://fbref.com/en/matches/2b01c68a/Parma-Juventus-August-24-2019-Serie-A,https://fbref.com/en/matches/2b01c68a/Parma-Juventus-August-24-2019-Serie-A
ISA,1,Sat,2019-08-24,20:45 (02:45),Fiorentina,1.7,3–4,2.0,Napoli,"33,614",Stadio Artemio Franchi,Davide Massa,Match Report,https://fbref.com/en/squads/421387cf/2019-2020/Fiorentina-Stats,https://fbref.com/en/squads/d48ad4ff/2019-2020/Napoli-Stats,https://fbref.com/en/matches/de16a772/Fiorentina-Napoli-August-24-2019-Serie-A,https://fbref.com/en/matches/de16a772/Fiorentina-Napoli-August-24-2019-Serie-A
ISA,1,Sun,2019-08-25,18:00 (00:00),Udinese,0.9,1–0,0.4,Milan,"24,584",Dacia Arena,Fabrizio Pasqua,Match Report,https://fbref.com/en/squads/04eea015/2019-2020/Udinese-Stats,https://fbref.com/en/squads/dc56fe14/2019-2020/Milan-Stats,https://fbref.com/en/matches/5d32941f/Udinese-Milan-August-25-2019-Serie-A,https://fbref.com/en/matches/5d32941f/Udinese-Milan-August-25-2019-Serie-A
ISA,1,Sun,2019-08-25,20:45 (02:45),Torino,1.2,2–1,1.5,Sassuolo,"16,536",Stadio Olimpico di Torino,Maurizio Mariani,Match Report,https://fbref.com/en/squads/105360fe/2019-2020/Torino-Stats,https://fbref.com/en/squads/e2befd26/2019-2020/Sassuolo-Stats,https://fbref.com/en/matches/6237b77f/Torino-Sassuolo-August-25-2019-Serie-A,https://fbref.com/en/matches/6237b77f/Torino-Sassuolo-August-25-2019-Serie-A
ISA,1,Sun,2019-08-25,20:45 (02:45),SPAL,1.6,2–3,1.7,Atalanta,"11,706",Stadio Paolo Mazza,Gianluca Manganiello,Match Report,https://fbref.com/en/squads/1d2fe027/2019-2020/SPAL-Stats,https://fbref.com/en/squads/922493f3/2019-2020/Atalanta-Stats,https://fbref.com/en/matches/0326af7e/SPAL-Atalanta-August-25-2019-Serie-A,https://fbref.com/en/matches/0326af7e/SPAL-Atalanta-August-25-2019-Serie-A
ISA,1,Sun,2019-08-25,20:45 (02:45),Roma,1.9,3–3,1.3,Genoa,"38,779",Stadio Olimpico,Giampaolo Calvarese,Match Report,https://fbref.com/en/squads/cf74a709/2019-2020/Roma-Stats,https://fbref.com/en/squads/658bf2de/2019-2020/Genoa-Stats,https://fbref.com/en/matches/3ac8069d/Roma-Genoa-August-25-2019-Serie-A,https://fbref.com/en/matches/3ac8069d/Roma-Genoa-August-25-2019-Serie-A
ISA,1,Sun,2019-08-25,20:45 (02:45),Cagliari,1.0,0–1,1.5,Brescia,"16,099",Sardegna Arena,Eugenio Abbattista,Match Report,https://fbref.com/en/squads/c4260e09/2019-2020/Cagliari-Stats,https://fbref.com/en/squads/4ef57aeb/2019-2020/Brescia-Stats,https://fbref.com/en/matches/fb06cc65/Cagliari-Brescia-August-25-2019-Serie-A,https://fbref.com/en/matches/fb06cc65/Cagliari-Brescia-August-25-2019-Serie-A
ISA,1,Sun,2019-08-25,20:45 (02:45),Hellas Verona,0.2,1–1,1.6,Bologna,"16,324",Stadio Marc'Antonio Bentegodi,Antonio Giua,Match Report,https://fbref.com/en/squads/0e72edf2/2019-2020/Hellas-Verona-Stats,https://fbref.com/en/squads/1d8099f8/2019-2020/Bologna-Stats,https://fbref.com/en/matches/a8b82bb0/Hellas-Verona-Bologna-August-25-2019-Serie-A,https://fbref.com/en/matches/a8b82bb0/Hellas-Verona-Bologna-August-25-2019-Serie-A
ISA,1,Sun,2019-08-25,20:45 (02:45),Sampdoria,0.8,0–3,2.3,Lazio,"19,500",Stadio Comunale Luigi Ferraris,Gianluca Rocchi,Match Report,https://fbref.com/en/squads/8ff9e3b3/2019-2020/Sampdoria-Stats,https://fbref.com/en/squads/7213da33/2019-2020/Lazio-Stats,https://fbref.com/en/matches/de72f334/Sampdoria-Lazio-August-25-2019-Serie-A,https://fbref.com/en/matches/de72f334/Sampdoria-Lazio-August-25-2019-Serie-A
ISA,1,Mon,2019-08-26,20:45 (02:45),Inter,1.7,4–0,0.7,Lecce,"64,188",Stadio Giuseppe Meazza,Federico La Penna,Match Report,https://fbref.com/en/squads/d609edc0/2019-2020/Internazionale-Stats,https://fbref.com/en/squads/ffcbe334/2019-2020/Lecce-Stats,https://fbref.com/en/matches/813ea7be/Internazionale-Lecce-August-26-2019-Serie-A,https://fbref.com/en/matches/813ea7be/Internazionale-Lecce-August-26-2019-Serie-A
ISA,2,Fri,2019-08-30,20:45 (02:45),Bologna,2.8,1–0,0.7,SPAL,"25,086",Stadio Renato Dall'Ara,Marco Di Bello,Match Report,https://fbref.com/en/squads/1d8099f8/2019-2020/Bologna-Stats,https://fbref.com/en/squads/1d2fe027/2019-2020/SPAL-Stats,https://fbref.com/en/matches/ba549b1e/Bologna-SPAL-August-30-2019-Serie-A,https://fbref.com/en/matches/ba549b1e/Bologna-SPAL-August-30-2019-Serie-A
ISA,2,Sat,2019-08-31,18:00 (00:00),Milan,1.5,1–0,0.6,Brescia,"56,691",Stadio Giuseppe Meazza,Rosario Abisso,Match Report,https://fbref.com/en/squads/dc56fe14/2019-2020/Milan-Stats,https://fbref.com/en/squads/4ef57aeb/2019-2020/Brescia-Stats,https://fbref.com/en/matches/27c01148/Milan-Brescia-August-31-2019-Serie-A,https://fbref.com/en/matches/27c01148/Milan-Brescia-August-31-2019-Serie-A
ISA,2,Sat,2019-08-31,20:45 (02:45),Juventus,1.4,4–3,1.4,Napoli,"39,203",Allianz Stadium,Daniele Orsato,Match Report,https://fbref.com/en/squads/e0652b02/2019-2020/Juventus-Stats,https://fbref.com/en/squads/d48ad4ff/2019-2020/Napoli-Stats,https://fbref.com/en/matches/14afe9c6/Juventus-Napoli-August-31-2019-Serie-A,https://fbref.com/en/matches/14afe9c6/Juventus-Napoli-August-31-2019-Serie-A
ISA,2,Sun,2019-09-01,18:00 (00:00),Lazio,1.9,1–1,1.3,Roma,"52,000",Stadio Olimpico,Marco Guida,Match Report,https://fbref.com/en/squads/7213da33/2019-2020/Lazio-Stats,https://fbref.com/en/squads/cf74a709/2019-2020/Roma-Stats,https://fbref.com/en/matches/5f3fe07d/Lazio-Roma-September-1-2019-Serie-A,https://fbref.com/en/matches/5f3fe07d/Lazio-Roma-September-1-2019-Serie-A
ISA,2,Sun,2019-09-01,20:45 (02:45),Atalanta,2.0,2–3,1.1,Torino,"8,182",Stadio Ennio Tardini,Daniele Doveri,Match Report,https://fbref.com/en/squads/922493f3/2019-2020/Atalanta-Stats,https://fbref.com/en/squads/105360fe/2019-2020/Torino-Stats,https://fbref.com/en/matches/e55b020e/Atalanta-Torino-September-1-2019-Serie-A,https://fbref.com/en/matches/e55b020e/Atalanta-Torino-September-1-2019-Serie-A
ISA,2,Sun,2019-09-01,20:45 (02:45),Cagliari,0.4,1–2,1.5,Inter,"16,412",Sardegna Arena,Fabio Maresca,Match Report,https://fbref.com/en/squads/c4260e09/2019-2020/Cagliari-Stats,https://fbref.com/en/squads/d609edc0/2019-2020/Internazionale-Stats,https://fbref.com/en/matches/5dba4b71/Cagliari-Internazionale-September-1-2019-Serie-A,https://fbref.com/en/matches/5dba4b71/Cagliari-Internazionale-September-1-2019-Serie-A
ISA,2,Sun,2019-09-01,20:45 (02:45),Lecce,1.3,0–1,1.4,Hellas Verona,"24,418",Stadio Comunale Via Del Mare,Juan Sacchi,Match Report,https://fbref.com/en/squads/ffcbe334/2019-2020/Lecce-Stats,https://fbref.com/en/squads/0e72edf2/2019-2020/Hellas-Verona-Stats,https://fbref.com/en/matches/a9c723e3/Lecce-Hellas-Verona-September-1-2019-Serie-A,https://fbref.com/en/matches/a9c723e3/Lecce-Hellas-Verona-September-1-2019-Serie-A
ISA,2,Sun,2019-09-01,20:45 (02:45),Udinese,1.5,1–3,0.6,Parma,"20,410",Dacia Arena,Marco Piccinini,Match Report,https://fbref.com/en/squads/04eea015/2019-2020/Udinese-Stats,https://fbref.com/en/squads/eab4234c/2019-2020/Parma-Stats,https://fbref.com/en/matches/2b67d770/Udinese-Parma-September-1-2019-Serie-A,https://fbref.com/en/matches/2b67d770/Udinese-Parma-September-1-2019-Serie-A
ISA,2,Sun,2019-09-01,20:45 (02:45),Genoa,2.1,2–1,1.9,Fiorentina,"20,000",Stadio Comunale Luigi Ferraris,Piero Giacomelli,Match Report,https://fbref.com/en/squads/658bf2de/2019-2020/Genoa-Stats,https://fbref.com/en/squads/421387cf/2019-2020/Fiorentina-Stats,https://fbref.com/en/matches/355e9742/Genoa-Fiorentina-September-1-2019-Serie-A,https://fbref.com/en/matches/355e9742/Genoa-Fiorentina-September-1-2019-Serie-A
ISA,2,Sun,2019-09-01,20:45 (02:45),Sassuolo,1.6,4–1,1.5,Sampdoria,"9,608",Stadio Città del Tricolore,Luca Pairetto,Match Report,https://fbref.com/en/squads/e2befd26/2019-2020/Sassuolo-Stats,https://fbref.com/en/squads/8ff9e3b3/2019-2020/Sampdoria-Stats,https://fbref.com/en/matches/1dea6b5e/Sassuolo-Sampdoria-September-1-2019-Serie-A,https://fbref.com/en/matches/1dea6b5e/Sassuolo-Sampdoria-September-1-2019-Serie-A
ISA,3,Sat,2019-09-14,15:00 (21:00),Fiorentina,1.6,0–0,0.3,Juventus,"40,000",Stadio Artemio Franchi,Massimiliano Irrati,Match Report,https://fbref.com/en/squads/421387cf/2019-2020/Fiorentina-Stats,https://fbref.com/en/squads/e0652b02/2019-2020/Juventus-Stats,https://fbref.com/en/matches/79509455/Fiorentina-Juventus-September-14-2019-Serie-A,https://fbref.com/en/matches/79509455/Fiorentina-Juventus-September-14-2019-Serie-A
ISA,3,Sat,2019-09-14,18:00 (00:00),Napoli,1.3,2–0,1.5,Sampdoria,"40,000",Stadio San Paolo,Federico La Penna,Match Report,https://fbref.com/en/squads/d48ad4ff/2019-2020/Napoli-Stats,https://fbref.com/en/squads/8ff9e3b3/2019-2020/Sampdoria-Stats,https://fbref.com/en/matches/a47ce106/Napoli-Sampdoria-September-14-2019-Serie-A,https://fbref.com/en/matches/a47ce106/Napoli-Sampdoria-September-14-2019-Serie-A
ISA,3,Sat,2019-09-14,20:45 (02:45),Inter,1.4,1–0,0.4,Udinese,"57,991",Stadio Giuseppe Meazza,Maurizio Mariani,Match Report,https://fbref.com/en/squads/d609edc0/2019-2020/Internazionale-Stats,https://fbref.com/en/squads/04eea015/2019-2020/Udinese-Stats,https://fbref.com/en/matches/a56b68f2/Internazionale-Udinese-September-14-2019-Serie-A,https://fbref.com/en/matches/a56b68f2/Internazionale-Udinese-September-14-2019-Serie-A
ISA,3,Sun,2019-09-15,12:30 (18:30),Genoa,1.4,1–2,2.5,Atalanta,"23,395",Stadio Comunale Luigi Ferraris,Michael Fabbri,Match Report,https://fbref.com/en/squads/658bf2de/2019-2020/Genoa-Stats,https://fbref.com/en/squads/922493f3/2019-2020/Atalanta-Stats,https://fbref.com/en/matches/7fb132b4/Genoa-Atalanta-September-15-2019-Serie-A,https://fbref.com/en/matches/7fb132b4/Genoa-Atalanta-September-15-2019-Serie-A
ISA,3,Sun,2019-09-15,15:00 (21:00),Parma,1.0,1–3,0.7,Cagliari,"14,068",Stadio Ennio Tardini,Fabrizio Pasqua,Match Report,https://fbref.com/en/squads/eab4234c/2019-2020/Parma-Stats,https://fbref.com/en/squads/c4260e09/2019-2020/Cagliari-Stats,https://fbref.com/en/matches/c88fa28b/Parma-Cagliari-September-15-2019-Serie-A,https://fbref.com/en/matches/c88fa28b/Parma-Cagliari-September-15-2019-Serie-A
ISA,3,Sun,2019-09-15,15:00 (21:00),Brescia,0.8,3–4,3.2,Bologna,"15,000",Stadio Mario Rigamonti,Gianluca Rocchi,Match Report,https://fbref.com/en/squads/4ef57aeb/2019-2020/Brescia-Stats,https://fbref.com/en/squads/1d8099f8/2019-2020/Bologna-Stats,https://fbref.com/en/matches/3d263c0c/Brescia-Bologna-September-15-2019-Serie-A,https://fbref.com/en/matches/3d263c0c/Brescia-Bologna-September-15-2019-Serie-A
ISA,3,Sun,2019-09-15,15:00 (21:00),SPAL,1.1,2–1,1.5,Lazio,"13,650",Stadio Paolo Mazza,Giampaolo Calvarese,Match Report,https://fbref.com/en/squads/1d2fe027/2019-2020/SPAL-Stats,https://fbref.com/en/squads/7213da33/2019-2020/Lazio-Stats,https://fbref.com/en/matches/6d0c347f/SPAL-Lazio-September-15-2019-Serie-A,https://fbref.com/en/matches/6d0c347f/SPAL-Lazio-September-15-2019-Serie-A
ISA,3,Sun,2019-09-15,18:00 (00:00),Roma,2.1,4–2,1.2,Sassuolo,"34,407",Stadio Olimpico,Daniele Chiffi,Match Report,https://fbref.com/en/squads/cf74a709/2019-2020/Roma-Stats,https://fbref.com/en/squads/e2befd26/2019-2020/Sassuolo-Stats,https://fbref.com/en/matches/ab5a64e6/Roma-Sassuolo-September-15-2019-Serie-A,https://fbref.com/en/matches/ab5a64e6/Roma-Sassuolo-September-15-2019-Serie-A
ISA,3,Sun,2019-09-15,20:45 (02:45),Hellas Verona,0.8,0–1,1.3,Milan,"24,363",Stadio Marc'Antonio Bentegodi,Gianluca Manganiello,Match Report,https://fbref.com/en/squads/0e72edf2/2019-2020/Hellas-Verona-Stats,https://fbref.com/en/squads/dc56fe14/2019-2020/Milan-Stats,https://fbref.com/en/matches/798a19ce/Hellas-Verona-Milan-September-15-2019-Serie-A,https://fbref.com/en/matches/798a19ce/Hellas-Verona-Milan-September-15-2019-Serie-A
ISA,3,Mon,2019-09-16,20:45 (02:45),Torino,2.0,1–2,1.2,Lecce,"21,620",Stadio Olimpico di Torino,Antonio Giua,Match Report,https://fbref.com/en/squads/105360fe/2019-2020/Torino-Stats,https://fbref.com/en/squads/ffcbe334/2019-2020/Lecce-Stats,https://fbref.com/en/matches/fb27614b/Torino-Lecce-September-16-2019-Serie-A,https://fbref.com/en/matches/fb27614b/Torino-Lecce-September-16-2019-Serie-A
ISA,4,Fri,2019-09-20,20:45 (02:45),Cagliari,1.5,3–1,1.3,Genoa,"14,574",Sardegna Arena,Gianluca Manganiello,Match Report,https://fbref.com/en/squads/c4260e09/2019-2020/Cagliari-Stats,https://fbref.com/en/squads/658bf2de/2019-2020/Genoa-Stats,https://fbref.com/en/matches/7b837163/Cagliari-Genoa-September-20-2019-Serie-A,https://fbref.com/en/matches/7b837163/Cagliari-Genoa-September-20-2019-Serie-A
ISA,4,Sat,2019-09-21,15:00 (21:00),Udinese,0.6,0–1,0.7,Brescia,"19,611",Dacia Arena,Paolo Valeri,Match Report,https://fbref.com/en/squads/04eea015/2019-2020/Udinese-Stats,https://fbref.com/en/squads/4ef57aeb/2019-2020/Brescia-Stats,https://fbref.com/en/matches/d5dc14b8/Udinese-Brescia-September-21-2019-Serie-A,https://fbref.com/en/matches/d5dc14b8/Udinese-Brescia-September-21-2019-Serie-A
ISA,4,Sat,2019-09-21,18:00 (00:00),Juventus,2.0,2–1,1.2,Hellas Verona,"39,945",Allianz Stadium,Federico La Penna,Match Report,https://fbref.com/en/squads/e0652b02/2019-2020/Juventus-Stats,https://fbref.com/en/squads/0e72edf2/2019-2020/Hellas-Verona-Stats,https://fbref.com/en/matches/c6a08826/Juventus-Hellas-Verona-September-21-2019-Serie-A,https://fbref.com/en/matches/c6a08826/Juventus-Hellas-Verona-September-21-2019-Serie-A
ISA,4,Sat,2019-09-21,20:45 (02:45),Milan,0.8,0–2,1.9,Inter,"70,440",Stadio Giuseppe Meazza,Daniele Doveri,Match Report,https://fbref.com/en/squads/dc56fe14/2019-2020/Milan-Stats,https://fbref.com/en/squads/d609edc0/2019-2020/Internazionale-Stats,https://fbref.com/en/matches/8d99b6b9/Derby-della-Madonnina-Milan-Internazionale-September-21-2019-Serie-A,https://fbref.com/en/matches/8d99b6b9/Derby-della-Madonnina-Milan-Internazionale-September-21-2019-Serie-A
ISA,4,Sun,2019-09-22,12:30 (18:30),Sassuolo,2.4,3–0,1.0,SPAL,"10,937",Stadio Città del Tricolore,Maurizio Mariani,Match Report,https://fbref.com/en/squads/e2befd26/2019-2020/Sassuolo-Stats,https://fbref.com/en/squads/1d2fe027/2019-2020/SPAL-Stats,https://fbref.com/en/matches/af15f020/Sassuolo-SPAL-September-22-2019-Serie-A,https://fbref.com/en/matches/af15f020/Sassuolo-SPAL-September-22-2019-Serie-A
ISA,4,Sun,2019-09-22,15:00 (21:00),Lecce,1.2,1–4,2.8,Napoli,"21,644",Stadio Comunale Via Del Mare,Marco Piccinini,Match Report,https://fbref.com/en/squads/ffcbe334/2019-2020/Lecce-Stats,https://fbref.com/en/squads/d48ad4ff/2019-2020/Napoli-Stats,https://fbref.com/en/matches/d110cc88/Lecce-Napoli-September-22-2019-Serie-A,https://fbref.com/en/matches/d110cc88/Lecce-Napoli-September-22-2019-Serie-A
