league,week,day,date,time,home,home_xg,score,away_xg,away,attendance,venue,referee,match_report,home_link,away_link,match_link,report_link
ISA,1,Sat,2018-08-18,18:00 (00:00),Chievo,1.0,2–3,2.3,Juventus,"29,500",Stadio Marc'Antonio Bentegodi,Fabrizio Pasqua,Match Report,https://fbref.com/en/squads/cc919b35/2018-2019/Chievo-Stats,https://fbref.com/en/squads/e0652b02/2018-2019/Juventus-Stats,https://fbref.com/en/matches/2758c0c0/Chievo-Juventus-August-18-2018-Serie-A,https://fbref.com/en/matches/2758c0c0/Chievo-Juventus-August-18-2018-Serie-A
ISA,1,Sat,2018-08-18,20:30 (02:30),Lazio,1.1,1–2,1.5,Napoli,"32,000",Stadio Olimpico,Luca Banti,Match Report,https://fbref.com/en/squads/7213da33/2018-2019/Lazio-Stats,https://fbref.com/en/squads/d48ad4ff/2018-2019/Napoli-Stats,https://fbref.com/en/matches/34947288/Lazio-Napoli-August-18-2018-Serie-A,https://fbref.com/en/matches/34947288/Lazio-Napoli-August-18-2018-Serie-A
ISA,1,Sun,2018-08-19,18:00 (00:00),Torino,0.7,0–1,1.5,Roma,"18,000",Stadio Olimpico di Torino,Marco Di Bello,Match Report,https://fbref.com/en/squads/105360fe/2018-2019/Torino-Stats,https://fbref.com/en/squads/cf74a709/2018-2019/Roma-Stats,https://fbref.com/en/matches/bf8bed12/Torino-Roma-August-19-2018-Serie-A,https://fbref.com/en/matches/bf8bed12/Torino-Roma-August-19-2018-Serie-A
ISA,1,Sun,2018-08-19,20:30 (02:30),Empoli,0.9,2–0,0.9,Cagliari,"7,335",Stadio Carlo Castellani,Daniele Chiffi,Match Report,https://fbref.com/en/squads/a3d88bd8/2018-2019/Empoli-Stats,https://fbref.com/en/squads/c4260e09/2018-2019/Cagliari-Stats,https://fbref.com/en/matches/4df38742/Empoli-Cagliari-August-19-2018-Serie-A,https://fbref.com/en/matches/4df38742/Empoli-Cagliari-August-19-2018-Serie-A
ISA,1,Sun,2018-08-19,20:30 (02:30),Bologna,0.9,0–1,0.7,SPAL,"21,158",Stadio Renato Dall'Ara,Piero Giacomelli,Match Report,https://fbref.com/en/squads/1d8099f8/2018-2019/Bologna-Stats,https://fbref.com/en/squads/1d2fe027/2018-2019/SPAL-Stats,https://fbref.com/en/matches/76ad12fa/Bologna-SPAL-August-19-2018-Serie-A,https://fbref.com/en/matches/76ad12fa/Bologna-SPAL-August-19-2018-Serie-A
ISA,1,Sun,2018-08-19,20:30 (02:30),Parma,1.4,2–2,2.1,Udinese,"13,141",Stadio Ennio Tardini,Giampaolo Calvarese,Match Report,https://fbref.com/en/squads/eab4234c/2018-2019/Parma-Stats,https://fbref.com/en/squads/04eea015/2018-2019/Udinese-Stats,https://fbref.com/en/matches/52018b4a/Parma-Udinese-August-19-2018-Serie-A,https://fbref.com/en/matches/52018b4a/Parma-Udinese-August-19-2018-Serie-A
ISA,1,Sun,2018-08-19,20:30 (02:30),Sassuolo,1.6,1–0,1.4,Inter,"19,104",Stadio Città del Tricolore,Maurizio Mariani,Match Report,https://fbref.com/en/squads/e2befd26/2018-2019/Sassuolo-Stats,https://fbref.com/en/squads/d609edc0/2018-2019/Internazionale-Stats,https://fbref.com/en/matches/359379e6/Sassuolo-Internazionale-August-19-2018-Serie-A,https://fbref.com/en/matches/359379e6/Sassuolo-Internazionale-August-19-2018-Serie-A
ISA,1,Mon,2018-08-20,20:30 (02:30),Atalanta,2.3,4–0,0.5,Frosinone,"18,217",Stadio Atleti Azzurri d'Italia,Marco Piccinini,Match Report,https://fbref.com/en/squads/922493f3/2018-2019/Atalanta-Stats,https://fbref.com/en/squads/6a7ad59d/2018-2019/Frosinone-Stats,https://fbref.com/en/matches/3c6aced5/Atalanta-Frosinone-August-20-2018-Serie-A,https://fbref.com/en/matches/3c6aced5/Atalanta-Frosinone-August-20-2018-Serie-A
ISA,2,Sat,2018-08-25,18:00 (00:00),Juventus,2.2,2–0,0.2,Lazio,"40,171",Allianz Stadium,Massimiliano Irrati,Match Report,https://fbref.com/en/squads/e0652b02/2018-2019/Juventus-Stats,https://fbref.com/en/squads/7213da33/2018-2019/Lazio-Stats,https://fbref.com/en/matches/2ea4b5a9/Juventus-Lazio-August-25-2018-Serie-A,https://fbref.com/en/matches/2ea4b5a9/Juventus-Lazio-August-25-2018-Serie-A
ISA,2,Sat,2018-08-25,20:30 (02:30),Napoli,2.1,3–2,0.7,Milan,"34,474",Stadio San Paolo,Paolo Valeri,Match Report,https://fbref.com/en/squads/d48ad4ff/2018-2019/Napoli-Stats,https://fbref.com/en/squads/dc56fe14/2018-2019/Milan-Stats,https://fbref.com/en/matches/05260246/Napoli-Milan-August-25-2018-Serie-A,https://fbref.com/en/matches/05260246/Napoli-Milan-August-25-2018-Serie-A
