league,week,day,date,time,home,home_xg,score,away_xg,away,attendance,venue,referee,match_report,home_link,away_link,match_link,report_link
ISA,31,Sun,2021-04-18,20:45 (02:45),Napoli,0.7,1–1,0.9,Inter,,Stadio San Paolo,Daniele Doveri,Match Report,https://fbref.com/en/squads/d48ad4ff/2020-2021/Napoli-Stats,https://fbref.com/en/squads/d609edc0/2020-2021/Internazionale-Stats,https://fbref.com/en/matches/3cb0281b/Napoli-Internazionale-April-18-2021-Serie-A,https://fbref.com/en/matches/3cb0281b/Napoli-Internazionale-April-18-2021-Serie-A
ISA,32,Tue,2021-04-20,20:45 (02:45),Hellas Verona,0.8,1–2,1.2,Fiorentina,,Stadio Marc'Antonio Bentegodi,Alessandro Prontera,Match Report,https://fbref.com/en/squads/0e72edf2/2020-2021/Hellas-Verona-Stats,https://fbref.com/en/squads/421387cf/2020-2021/Fiorentina-Stats,https://fbref.com/en/matches/8af95a26/Hellas-Verona-Fiorentina-April-20-2021-Serie-A,https://fbref.com/en/matches/8af95a26/Hellas-Verona-Fiorentina-April-20-2021-Serie-A
ISA,32,Wed,2021-04-21,18:30 (00:30),Milan,1.3,1–2,1.9,Sassuolo,,Stadio Giuseppe Meazza,Juan Sacchi,Match Report,https://fbref.com/en/squads/dc56fe14/2020-2021/Milan-Stats,https://fbref.com/en/squads/e2befd26/2020-2021/Sassuolo-Stats,https://fbref.com/en/matches/24bbd9bb/Milan-Sassuolo-April-21-2021-Serie-A,https://fbref.com/en/matches/24bbd9bb/Milan-Sassuolo-April-21-2021-Serie-A
ISA,32,Wed,2021-04-21,20:45 (02:45),Juventus,2.1,3–1,1.1,Parma,,Allianz Stadium,Piero Giacomelli,Match Report,https://fbref.com/en/squads/e0652b02/2020-2021/Juventus-Stats,https://fbref.com/en/squads/eab4234c/2020-2021/Parma-Stats,https://fbref.com/en/matches/f27d2f16/Juventus-Parma-April-21-2021-Serie-A,https://fbref.com/en/matches/f27d2f16/Juventus-Parma-April-21-2021-Serie-A
ISA,32,Wed,2021-04-21,20:45 (02:45),Spezia,0.0,1–1,2.5,Inter,,Stadio Dino Manuzzi,Daniele Chiffi,Match Report,https://fbref.com/en/squads/68449f6d/2020-2021/Spezia-Stats,https://fbref.com/en/squads/d609edc0/2020-2021/Internazionale-Stats,https://fbref.com/en/matches/b146d7f8/Spezia-Internazionale-April-21-2021-Serie-A,https://fbref.com/en/matches/b146d7f8/Spezia-Internazionale-April-21-2021-Serie-A
ISA,32,Wed,2021-04-21,20:45 (02:45),Genoa,1.2,2–2,1.0,Benevento,,Stadio Comunale Luigi Ferraris,Luca Pairetto,Match Report,https://fbref.com/en/squads/658bf2de/2020-2021/Genoa-Stats,https://fbref.com/en/squads/4fcb34fd/2020-2021/Benevento-Stats,https://fbref.com/en/matches/6d56961f/Genoa-Benevento-April-21-2021-Serie-A,https://fbref.com/en/matches/6d56961f/Genoa-Benevento-April-21-2021-Serie-A
ISA,32,Wed,2021-04-21,20:45 (02:45),Udinese,0.9,0–1,1.6,Cagliari,,Dacia Arena,Marco Guida,Match Report,https://fbref.com/en/squads/04eea015/2020-2021/Udinese-Stats,https://fbref.com/en/squads/c4260e09/2020-2021/Cagliari-Stats,https://fbref.com/en/matches/daf10d8f/Udinese-Cagliari-April-21-2021-Serie-A,https://fbref.com/en/matches/daf10d8f/Udinese-Cagliari-April-21-2021-Serie-A
ISA,32,Wed,2021-04-21,20:45 (02:45),Bologna,0.4,1–1,2.0,Torino,,Stadio Renato Dall'Ara,Valerio Marini,Match Report,https://fbref.com/en/squads/1d8099f8/2020-2021/Bologna-Stats,https://fbref.com/en/squads/105360fe/2020-2021/Torino-Stats,https://fbref.com/en/matches/0332b891/Bologna-Torino-April-21-2021-Serie-A,https://fbref.com/en/matches/0332b891/Bologna-Torino-April-21-2021-Serie-A
ISA,32,Wed,2021-04-21,20:45 (02:45),Crotone,0.7,0–1,1.9,Sampdoria,,Stadio Ezio Scida,Daniele Paterna,Match Report,https://fbref.com/en/squads/3074d7b1/2020-2021/Crotone-Stats,https://fbref.com/en/squads/8ff9e3b3/2020-2021/Sampdoria-Stats,https://fbref.com/en/matches/274dac9a/Crotone-Sampdoria-April-21-2021-Serie-A,https://fbref.com/en/matches/274dac9a/Crotone-Sampdoria-April-21-2021-Serie-A
ISA,32,Thu,2021-04-22,18:30 (00:30),Roma,1.0,1–1,2.8,Atalanta,,Stadio Olimpico,Giampaolo Calvarese,Match Report,https://fbref.com/en/squads/cf74a709/2020-2021/Roma-Stats,https://fbref.com/en/squads/922493f3/2020-2021/Atalanta-Stats,https://fbref.com/en/matches/f57c8510/Roma-Atalanta-April-22-2021-Serie-A,https://fbref.com/en/matches/f57c8510/Roma-Atalanta-April-22-2021-Serie-A
