week,day,date,time,home,home_xg,score,away_xg,away,attendance,venue,referee,match_report,home_link,away_link,match_link,report_link
11,Sun,2020-12-06,19:15 (03:15),Liverpool,1.2,4–0,0.5,Wolves,"2,000",Anfield,Craig Pawson,Match Report,https://fbref.com/en/squads/822bd0ba/2020-2021/Liverpool-Stats,https://fbref.com/en/squads/8cec06e1/2020-2021/Wolverhampton-Wanderers-Stats,https://fbref.com/en/matches/25249736/Liverpool-Wolverhampton-Wanderers-December-6-2020-Premier-League,https://fbref.com/en/matches/25249736/Liverpool-Wolverhampton-Wanderers-December-6-2020-Premier-League
11,Mon,2020-12-07,20:00 (04:00),Brighton,2.1,1–2,1.1,Southampton,"2,000",The American Express Community Stadium,David Coote,Match Report,https://fbref.com/en/squads/d07537b9/2020-2021/Brighton-and-Hove-Albion-Stats,https://fbref.com/en/squads/33c895d4/2020-2021/Southampton-Stats,https://fbref.com/en/matches/32356abc/Brighton-and-Hove-Albion-Southampton-December-7-2020-Premier-League,https://fbref.com/en/matches/32356abc/Brighton-and-Hove-Albion-Southampton-December-7-2020-Premier-League
12,Fri,2020-12-11,20:00 (04:00),Leeds United,1.8,1–2,1.9,West Ham,,Elland Road,Michael Oliver,Match Report,https://fbref.com/en/squads/5bfb9659/2020-2021/Leeds-United-Stats,https://fbref.com/en/squads/7c21e445/2020-2021/West-Ham-United-Stats,https://fbref.com/en/matches/2d36ffad/Leeds-United-West-Ham-United-December-11-2020-Premier-League,https://fbref.com/en/matches/2d36ffad/Leeds-United-West-Ham-United-December-11-2020-Premier-League
12,Sat,2020-12-12,12:30 (20:30),Wolves,1.2,0–1,1.1,Aston Villa,,Molineux Stadium,Mike Dean,Match Report,https://fbref.com/en/squads/8cec06e1/2020-2021/Wolverhampton-Wanderers-Stats,https://fbref.com/en/squads/8602292d/2020-2021/Aston-Villa-Stats,https://fbref.com/en/matches/f809a014/Wolverhampton-Wanderers-Aston-Villa-December-12-2020-Premier-League,https://fbref.com/en/matches/f809a014/Wolverhampton-Wanderers-Aston-Villa-December-12-2020-Premier-League
12,Sat,2020-12-12,15:00 (23:00),Newcastle Utd,1.1,2–1,0.6,West Brom,,St. James' Park,Darren England,Match Report,https://fbref.com/en/squads/b2b47a98/2020-2021/Newcastle-United-Stats,https://fbref.com/en/squads/60c6b05f/2020-2021/West-Bromwich-Albion-Stats,https://fbref.com/en/matches/4a2a6f14/Newcastle-United-West-Bromwich-Albion-December-12-2020-Premier-League,https://fbref.com/en/matches/4a2a6f14/Newcastle-United-West-Bromwich-Albion-December-12-2020-Premier-League
12,Sat,2020-12-12,17:30 (01:30),Manchester Utd,1.0,0–0,1.2,Manchester City,,Old Trafford,Chris Kavanagh,Match Report,https://fbref.com/en/squads/19538871/2020-2021/Manchester-United-Stats,https://fbref.com/en/squads/b8fd03ef/2020-2021/Manchester-City-Stats,https://fbref.com/en/matches/85cc70bb/Manchester-Derby-Manchester-United-Manchester-City-December-12-2020-Premier-League,https://fbref.com/en/matches/85cc70bb/Manchester-Derby-Manchester-United-Manchester-City-December-12-2020-Premier-League
12,Sat,2020-12-12,20:00 (04:00),Everton,1.3,1–0,0.9,Chelsea,"2,000",Goodison Park,Jonathan Moss,Match Report,https://fbref.com/en/squads/d3fd31cc/2020-2021/Everton-Stats,https://fbref.com/en/squads/cff3d9bb/2020-2021/Chelsea-Stats,https://fbref.com/en/matches/4847e3c3/Everton-Chelsea-December-12-2020-Premier-League,https://fbref.com/en/matches/4847e3c3/Everton-Chelsea-December-12-2020-Premier-League
12,Sun,2020-12-13,12:00 (20:00),Southampton,1.4,3–0,0.4,Sheffield Utd,"2,000",St. Mary's Stadium,Andy Madley,Match Report,https://fbref.com/en/squads/33c895d4/2020-2021/Southampton-Stats,https://fbref.com/en/squads/1df6b87e/2020-2021/Sheffield-United-Stats,https://fbref.com/en/matches/9bec56c6/Southampton-Sheffield-United-December-13-2020-Premier-League,https://fbref.com/en/matches/9bec56c6/Southampton-Sheffield-United-December-13-2020-Premier-League
12,Sun,2020-12-13,14:15 (22:15),Crystal Palace,1.2,1–1,1.1,Tottenham,"2,000",Selhurst Park,Kevin Friend,Match Report,https://fbref.com/en/squads/47c64c55/2020-2021/Crystal-Palace-Stats,https://fbref.com/en/squads/361ca564/2020-2021/Tottenham-Hotspur-Stats,https://fbref.com/en/matches/9b0e267e/Crystal-Palace-Tottenham-Hotspur-December-13-2020-Premier-League,https://fbref.com/en/matches/9b0e267e/Crystal-Palace-Tottenham-Hotspur-December-13-2020-Premier-League
12,Sun,2020-12-13,16:30 (00:30),Fulham,1.5,1–1,2.1,Liverpool,"2,000",Craven Cottage,Andre Marriner,Match Report,https://fbref.com/en/squads/fd962109/2020-2021/Fulham-Stats,https://fbref.com/en/squads/822bd0ba/2020-2021/Liverpool-Stats,https://fbref.com/en/matches/5abb0bd1/Fulham-Liverpool-December-13-2020-Premier-League,https://fbref.com/en/matches/5abb0bd1/Fulham-Liverpool-December-13-2020-Premier-League
12,Sun,2020-12-13,19:15 (03:15),Arsenal,1.5,0–1,0.9,Burnley,"2,000",Emirates Stadium,Graham Scott,Match Report,https://fbref.com/en/squads/18bb7c10/2020-2021/Arsenal-Stats,https://fbref.com/en/squads/943e8050/2020-2021/Burnley-Stats,https://fbref.com/en/matches/e4dc55d0/Arsenal-Burnley-December-13-2020-Premier-League,https://fbref.com/en/matches/e4dc55d0/Arsenal-Burnley-December-13-2020-Premier-League
12,Sun,2020-12-13,19:15 (03:15),Leicester City,1.7,3–0,1.1,Brighton,,King Power Stadium,Martin Atkinson,Match Report,https://fbref.com/en/squads/a2d435b3/2020-2021/Leicester-City-Stats,https://fbref.com/en/squads/d07537b9/2020-2021/Brighton-and-Hove-Albion-Stats,https://fbref.com/en/matches/964e6470/Leicester-City-Brighton-and-Hove-Albion-December-13-2020-Premier-League,https://fbref.com/en/matches/964e6470/Leicester-City-Brighton-and-Hove-Albion-December-13-2020-Premier-League
13,Tue,2020-12-15,18:00 (02:00),Wolves,0.5,2–1,1.3,Chelsea,,Molineux Stadium,Stuart Attwell,Match Report,https://fbref.com/en/squads/8cec06e1/2020-2021/Wolverhampton-Wanderers-Stats,https://fbref.com/en/squads/cff3d9bb/2020-2021/Chelsea-Stats,https://fbref.com/en/matches/20bd0665/Wolverhampton-Wanderers-Chelsea-December-15-2020-Premier-League,https://fbref.com/en/matches/20bd0665/Wolverhampton-Wanderers-Chelsea-December-15-2020-Premier-League
13,Tue,2020-12-15,20:00 (04:00),Manchester City,1.9,1–1,0.3,West Brom,,Etihad Stadium,Peter Bankes,Match Report,https://fbref.com/en/squads/b8fd03ef/2020-2021/Manchester-City-Stats,https://fbref.com/en/squads/60c6b05f/2020-2021/West-Bromwich-Albion-Stats,https://fbref.com/en/matches/40b42ca1/Manchester-City-West-Bromwich-Albion-December-15-2020-Premier-League,https://fbref.com/en/matches/40b42ca1/Manchester-City-West-Bromwich-Albion-December-15-2020-Premier-League
13,Wed,2020-12-16,18:00 (02:00),Arsenal,0.7,1–1,1.1,Southampton,,Emirates Stadium,Paul Tierney,Match Report,https://fbref.com/en/squads/18bb7c10/2020-2021/Arsenal-Stats,https://fbref.com/en/squads/33c895d4/2020-2021/Southampton-Stats,https://fbref.com/en/matches/0ceceee4/Arsenal-Southampton-December-16-2020-Premier-League,https://fbref.com/en/matches/0ceceee4/Arsenal-Southampton-December-16-2020-Premier-League
13,Wed,2020-12-16,18:00 (02:00),Leicester City,0.7,0–2,1.2,Everton,,King Power Stadium,Lee Mason,Match Report,https://fbref.com/en/squads/a2d435b3/2020-2021/Leicester-City-Stats,https://fbref.com/en/squads/d3fd31cc/2020-2021/Everton-Stats,https://fbref.com/en/matches/b30c816c/Leicester-City-Everton-December-16-2020-Premier-League,https://fbref.com/en/matches/b30c816c/Leicester-City-Everton-December-16-2020-Premier-League
13,Wed,2020-12-16,18:00 (02:00),Leeds United,2.8,5–2,0.9,Newcastle Utd,,Elland Road,Simon Hooper,Match Report,https://fbref.com/en/squads/5bfb9659/2020-2021/Leeds-United-Stats,https://fbref.com/en/squads/b2b47a98/2020-2021/Newcastle-United-Stats,https://fbref.com/en/matches/b52c441b/Leeds-United-Newcastle-United-December-16-2020-Premier-League,https://fbref.com/en/matches/b52c441b/Leeds-United-Newcastle-United-December-16-2020-Premier-League
13,Wed,2020-12-16,20:00 (04:00),West Ham,0.3,1–1,0.9,Crystal Palace,,London Stadium,David Coote,Match Report,https://fbref.com/en/squads/7c21e445/2020-2021/West-Ham-United-Stats,https://fbref.com/en/squads/47c64c55/2020-2021/Crystal-Palace-Stats,https://fbref.com/en/matches/98bf02e0/West-Ham-United-Crystal-Palace-December-16-2020-Premier-League,https://fbref.com/en/matches/98bf02e0/West-Ham-United-Crystal-Palace-December-16-2020-Premier-League
13,Wed,2020-12-16,20:00 (04:00),Fulham,0.8,0–0,0.6,Brighton,,Craven Cottage,Robert Jones,Match Report,https://fbref.com/en/squads/fd962109/2020-2021/Fulham-Stats,https://fbref.com/en/squads/d07537b9/2020-2021/Brighton-and-Hove-Albion-Stats,https://fbref.com/en/matches/eb73d532/Fulham-Brighton-and-Hove-Albion-December-16-2020-Premier-League,https://fbref.com/en/matches/eb73d532/Fulham-Brighton-and-Hove-Albion-December-16-2020-Premier-League
13,Wed,2020-12-16,20:00 (04:00),Liverpool,1.2,2–1,1.3,Tottenham,"2,000",Anfield,Anthony Taylor,Match Report,https://fbref.com/en/squads/822bd0ba/2020-2021/Liverpool-Stats,https://fbref.com/en/squads/361ca564/2020-2021/Tottenham-Hotspur-Stats,https://fbref.com/en/matches/966f86fe/Liverpool-Tottenham-Hotspur-December-16-2020-Premier-League,https://fbref.com/en/matches/966f86fe/Liverpool-Tottenham-Hotspur-December-16-2020-Premier-League
13,Thu,2020-12-17,18:00 (02:00),Aston Villa,2.0,0–0,0.4,Burnley,,Villa Park,Craig Pawson,Match Report,https://fbref.com/en/squads/8602292d/2020-2021/Aston-Villa-Stats,https://fbref.com/en/squads/943e8050/2020-2021/Burnley-Stats,https://fbref.com/en/matches/5d89f60c/Aston-Villa-Burnley-December-17-2020-Premier-League,https://fbref.com/en/matches/5d89f60c/Aston-Villa-Burnley-December-17-2020-Premier-League
13,Thu,2020-12-17,20:00 (04:00),Sheffield Utd,1.6,2–3,2.0,Manchester Utd,,Bramall Lane,Michael Oliver,Match Report,https://fbref.com/en/squads/1df6b87e/2020-2021/Sheffield-United-Stats,https://fbref.com/en/squads/19538871/2020-2021/Manchester-United-Stats,https://fbref.com/en/matches/3b3cc5f6/Sheffield-United-Manchester-United-December-17-2020-Premier-League,https://fbref.com/en/matches/3b3cc5f6/Sheffield-United-Manchester-United-December-17-2020-Premier-League
14,Sat,2020-12-19,12:30 (20:30),Crystal Palace,0.3,0–7,2.1,Liverpool,,Selhurst Park,Jonathan Moss,Match Report,https://fbref.com/en/squads/47c64c55/2020-2021/Crystal-Palace-Stats,https://fbref.com/en/squads/822bd0ba/2020-2021/Liverpool-Stats,https://fbref.com/en/matches/d05715a8/Crystal-Palace-Liverpool-December-19-2020-Premier-League,https://fbref.com/en/matches/d05715a8/Crystal-Palace-Liverpool-December-19-2020-Premier-League
14,Sat,2020-12-19,15:00 (23:00),Southampton,1.0,0–1,1.1,Manchester City,,St. Mary's Stadium,Mike Dean,Match Report,https://fbref.com/en/squads/33c895d4/2020-2021/Southampton-Stats,https://fbref.com/en/squads/b8fd03ef/2020-2021/Manchester-City-Stats,https://fbref.com/en/matches/8d4a02ae/Southampton-Manchester-City-December-19-2020-Premier-League,https://fbref.com/en/matches/8d4a02ae/Southampton-Manchester-City-December-19-2020-Premier-League
14,Sat,2020-12-19,17:30 (01:30),Everton,0.8,2–1,1.4,Arsenal,,Goodison Park,Andre Marriner,Match Report,https://fbref.com/en/squads/d3fd31cc/2020-2021/Everton-Stats,https://fbref.com/en/squads/18bb7c10/2020-2021/Arsenal-Stats,https://fbref.com/en/matches/72fa1993/Everton-Arsenal-December-19-2020-Premier-League,https://fbref.com/en/matches/72fa1993/Everton-Arsenal-December-19-2020-Premier-League
14,Sat,2020-12-19,20:00 (04:00),Newcastle Utd,1.4,1–1,0.7,Fulham,,St. James' Park,Graham Scott,Match Report,https://fbref.com/en/squads/b2b47a98/2020-2021/Newcastle-United-Stats,https://fbref.com/en/squads/fd962109/2020-2021/Fulham-Stats,https://fbref.com/en/matches/3ae84056/Newcastle-United-Fulham-December-19-2020-Premier-League,https://fbref.com/en/matches/3ae84056/Newcastle-United-Fulham-December-19-2020-Premier-League
