Rank,Club,Country,Level,Elo,From,To
None,Bournemouth,ENG,2,1428.95483398,1987-07-01,1987-08-15
None,Bournemouth,ENG,2,1441.60913086,1987-08-16,1987-08-22
None,Bournemouth,ENG,2,1451.54882812,1987-08-23,1987-08-29
None,Bournemouth,ENG,2,1455.96801758,1987-08-30,1987-08-31
None,Bournemouth,ENG,2,1446.30102539,1987-09-01,1987-09-05
None,Bournemouth,ENG,2,1441.97119141,1987-09-06,1987-09-12
None,Bournemouth,ENG,2,1452.88574219,1987-09-13,1987-09-15
None,Bournemouth,ENG,2,1442.34680176,1987-09-16,1987-09-19
None,Bournemouth,ENG,2,1433.62158203,1987-09-20,1987-09-26
None,Bournemouth,ENG,2,1427.28088379,1987-09-27,1987-09-29
None,Bournemouth,ENG,2,1425.62402344,1987-09-30,1987-10-03
None,Bournemouth,ENG,2,1421.64013672,1987-10-04,1987-10-10
None,Bournemouth,ENG,2,1420.07287598,1987-10-11,1987-10-17
None,Bournemouth,ENG,2,1426.85534668,1987-10-18,1987-10-20
None,Bournemouth,ENG,2,1436.3269043,1987-10-21,1987-10-24
None,Bournemouth,ENG,2,1432.35681152,1987-10-25,1987-10-31
None,Bournemouth,ENG,2,1433.47521973,1987-11-01,1987-11-03
None,Bournemouth,ENG,2,1445.44177246,1987-11-04,1987-11-07
None,Bournemouth,ENG,2,1437.22521973,1987-11-08,1987-11-21
None,Bournemouth,ENG,2,1421.08972168,1987-11-22,1987-11-28
None,Bournemouth,ENG,2,1414.62011719,1987-11-29,1987-12-01
None,Bournemouth,ENG,2,1406.90478516,1987-12-02,1987-12-05
None,Bournemouth,ENG,2,1405.59155273,1987-12-06,1987-12-12
None,Bournemouth,ENG,2,1401.6027832,1987-12-13,1987-12-19
None,Bournemouth,ENG,2,1403.05993652,1987-12-20,1987-12-26
None,Bournemouth,ENG,2,1416.47912598,1987-12-27,1987-12-28
None,Bournemouth,ENG,2,1422.69934082,1987-12-29,1988-01-01
None,Bournemouth,ENG,2,1432.12670898,1988-01-02,1988-01-16
None,Bournemouth,ENG,2,1421.66955566,1988-01-17,1988-02-06
None,Bournemouth,ENG,2,1439.13842773,1988-02-07,1988-02-13
None,Bournemouth,ENG,2,1434.2623291,1988-02-14,1988-02-27
None,Bournemouth,ENG,2,1434.20214844,1988-02-28,1988-03-05
None,Bournemouth,ENG,2,1429.58081055,1988-03-06,1988-03-08
None,Bournemouth,ENG,2,1425.27624512,1988-03-09,1988-03-12
None,Bournemouth,ENG,2,1421.27832031,1988-03-13,1988-03-19
None,Bournemouth,ENG,2,1434.07678223,1988-03-20,1988-03-26
None,Bournemouth,ENG,2,1435.39001465,1988-03-27,1988-04-02
None,Bournemouth,ENG,2,1429.23718262,1988-04-03,1988-04-08
None,Bournemouth,ENG,2,1424.0645752,1988-04-09,1988-04-13
None,Bournemouth,ENG,2,1426.72033691,1988-04-14,1988-04-19
None,Bournemouth,ENG,2,1420.04309082,1988-04-20,1988-04-26
None,Bournemouth,ENG,2,1431.91088867,1988-04-27,1988-04-30
None,Bournemouth,ENG,2,1440.07592773,1988-05-01,1988-05-02
None,Bournemouth,ENG,2,1449.97692871,1988-05-03,1988-05-07
None,Bournemouth,ENG,2,1445.18017578,1988-05-08,1988-08-27
None,Bournemouth,ENG,2,1447.23242188,1988-08-28,1988-09-03
None,Bournemouth,ENG,2,1457.79760742,1988-09-04,1988-09-07
None,Bournemouth,ENG,2,1458.98669434,1988-09-08,1988-09-10
None,Bournemouth,ENG,2,1467.84924316,1988-09-11,1988-09-17
None,Bournemouth,ENG,2,1467.7154541,1988-09-18,1988-09-20
None,Bournemouth,ENG,2,1459.82653809,1988-09-21,1988-09-24
None,Bournemouth,ENG,2,1468.59387207,1988-09-25,1988-10-01
None,Bournemouth,ENG,2,1463.04943848,1988-10-02,1988-10-05
None,Bournemouth,ENG,2,1469.42199707,1988-10-06,1988-10-08
None,Bournemouth,ENG,2,1457.47277832,1988-10-09,1988-10-15
None,Bournemouth,ENG,2,1453.95739746,1988-10-16,1988-10-21
None,Bournemouth,ENG,2,1443.50610352,1988-10-22,1988-10-25
None,Bournemouth,ENG,2,1437.72351074,1988-10-26,1988-10-26
None,Bournemouth,ENG,2,1430.88977051,1988-10-27,1988-10-29
None,Bournemouth,ENG,2,1439.78344727,1988-10-30,1988-11-05
None,Bournemouth,ENG,2,1452.12890625,1988-11-06,1988-11-09
None,Bournemouth,ENG,2,1446.89013672,1988-11-10,1988-11-12
None,Bournemouth,ENG,2,1459.7713623,1988-11-13,1988-11-19
None,Bournemouth,ENG,2,1452.27441406,1988-11-20,1988-11-26
None,Bournemouth,ENG,2,1443.40014648,1988-11-27,1988-11-29
None,Bournemouth,ENG,2,1456.0447998,1988-11-30,1988-12-03
None,Bournemouth,ENG,2,1464.53930664,1988-12-04,1988-12-10
None,Bournemouth,ENG,2,1467.86499023,1988-12-11,1988-12-17
None,Bournemouth,ENG,2,1472.19897461,1988-12-18,1988-12-26
None,Bournemouth,ENG,2,1483.56689453,1988-12-27,1988-12-31
None,Bournemouth,ENG,2,1480.16809082,1989-01-01,1989-01-02
None,Bournemouth,ENG,2,1485.10595703,1989-01-03,1989-01-14
None,Bournemouth,ENG,2,1472.49206543,1989-01-15,1989-01-21
None,Bournemouth,ENG,2,1463.18151855,1989-01-22,1989-02-04
None,Bournemouth,ENG,2,1471.10705566,1989-02-05,1989-02-11
None,Bournemouth,ENG,2,1478.86633301,1989-02-12,1989-02-25
None,Bournemouth,ENG,2,1485.99084473,1989-02-26,1989-02-28
None,Bournemouth,ENG,2,1484.10900879,1989-03-01,1989-03-04
None,Bournemouth,ENG,2,1496.05725098,1989-03-05,1989-03-11
None,Bournemouth,ENG,2,1505.86950684,1989-03-12,1989-03-14
None,Bournemouth,ENG,2,1498.44421387,1989-03-15,1989-03-18
None,Bournemouth,ENG,2,1489.61938477,1989-03-19,1989-03-25
None,Bournemouth,ENG,2,1486.2199707,1989-03-26,1989-03-27
None,Bournemouth,ENG,2,1492.61535645,1989-03-28,1989-04-01
None,Bournemouth,ENG,2,1484.33569336,1989-04-02,1989-04-04
